entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Growth,Biological process,Aquatic plants,Plant type,Affected by,"So, if all the pans of the aquatic plants do not come in contact with water, their growth might be bampen:d."
Stems,Plant part,Aquatic plants,Plant type,Belongs to,"~  Water for Life 39 It is also to be noted that, stems and other parts of the aquatic plants are so soft that they are suitable for adapting with water current and movement of aquatic fauna."
Aquatic fauna,Animal,Water,Environment,Inhabits,"~  Water for Life 39 It is also to be noted that, stems and other parts of the aquatic plants are so soft that they are suitable for adapting with water current and movement of aquatic fauna."
Aquatic plants,Plant type,Asexual reproduction,Reproduction type,Usually do,Aquatic plants usually reproduce asexually and reproduction would have been hampered in the absence of water.
Water,Environmental factor,Reproduction,Biological process,Necessary for,Aquatic plants usually reproduce asexually and reproduction would have been hampered in the absence of water.
Water,Substance,Reproduction,Biological process,Essential for,So we can say that water is essential for reproduction and growth of aquatic plants which are very important for the ecological balance.
Water,Substance,Growth,Biological process,Essential for,So we can say that water is essential for reproduction and growth of aquatic plants which are very important for the ecological balance.
Aquatic plants,Plant type,Ecological balance,Concept,Important for,So we can say that water is essential for reproduction and growth of aquatic plants which are very important for the ecological balance.
Aquatic plants,Plant type,Water,Natural resource,Dependent on,"If there were no water, aquatic plants would not grow or survive and as a result environmental disaster could occur."
Aquatic plants,Plant type,Survive,Action,Requires,"If there were no water, aquatic plants would not grow or survive and as a result environmental disaster could occur."
Environmental disaster,Event,Lack of water,Condition,Could result from,"If there were no water, aquatic plants would not grow or survive and as a result environmental disaster could occur."
Water,Natural resource,Aquatic plants,Plant type,Required for growth and survival,"If there were no water, aquatic plants would not grow or survive and as a result environmental disaster could occur."
Water,Substance,Aquatic fauna,Animal group,Important for,"2.1.4 Importance of Water for Aquatic Fauna Among thousands of aquatic animals, fish is the most well-known to us."
Aquatic animals,Animal group,Water,Substance,Dependent on,"2.1.4 Importance of Water for Aquatic Fauna Among thousands of aquatic animals, fish is the most well-known to us."
Fish,Animal,Aquatic animals,Animal group,Belongs to,"2.1.4 Importance of Water for Aquatic Fauna Among thousands of aquatic animals, fish is the most well-known to us."
Air,Substance,Oxygen,Substance,Component of,"Because as we can not survive without air or oxygen, we die due to breathing problems, in the case offish, it happens in the same way."
Breathing problems,Medical condition,Humans,Organism,Affects,"Because as we can not survive without air or oxygen, we die due to breathing problems, in the case offish, it happens in the same way."
Fish,Organism,Breathing problems,Medical condition,Can experience,"Because as we can not survive without air or oxygen, we die due to breathing problems, in the case offish, it happens in the same way."
Oxygen,Substance,Fish,Organism,Necessary for survival,"Because as we can not survive without air or oxygen, we die due to breathing problems, in the case offish, it happens in the same way."
Fishes,Animal,Gills,Organ,Have,Fishes take oxygen through the gills which are suitable for taking up oxygen only from water and not from air.
Gills,Organ,Water,Liquid,Suitable for taking up oxygen from,Fishes take oxygen through the gills which are suitable for taking up oxygen only from water and not from air.
Fish,Animal,Water,Liquid,Dependent on,"If there were no water, no fish could survive."
Fish,Animal,Oxygen,Element,Taken in by,Not only fish but also other animals that take in oxygen by respiration through gills would not survive.
Respiration,Biological process,Gills,Organ,Occurs through,Not only fish but also other animals that take in oxygen by respiration through gills would not survive.
Animals,Animal,Gills,Organ,Use for respiration,Not only fish but also other animals that take in oxygen by respiration through gills would not survive.
Survival,Biological process,Animals,Animal,Dependent on,Not only fish but also other animals that take in oxygen by respiration through gills would not survive.
Protein,Nutrient,Our growth,Biological process,Essential for,You know that protein is an essential element for our growth.
Fish,Animal,Proteins,Nutrient,Source of,Approximately 80% of proteins needed for us comes from fish.
Aquatic flora,Flora,Habitat,Habitat,Located in,It is a habitat for aquatic flora and fauna which are very important components of our environment.
Aquatic fauna,Fauna,Habitat,Habitat,Located in,It is a habitat for aquatic flora and fauna which are very important components of our environment.
Environment,Environment,Aquatic flora,Flora,Component of,It is a habitat for aquatic flora and fauna which are very important components of our environment.
Environment,Environment,Aquatic fauna,Fauna,Component of,It is a habitat for aquatic flora and fauna which are very important components of our environment.
Water,Substance,Irrigation,Activity,Used for,"In addition, water is also used for irrigation."
Mariners,Profession,Water,Natural resource,Depend on,"Moreover, mariners, boatmen and people who are in a similar profession depend on water for drinking and other purposes."
Boatmen,Profession,Water,Natural resource,Depend on,"Moreover, mariners, boatmen and people who are in a similar profession depend on water for drinking and other purposes."
People,Profession,Water,Natural resource,Depend on,"Moreover, mariners, boatmen and people who are in a similar profession depend on water for drinking and other purposes."
Water,Natural resource,Environment,Ecosystem,Affects,"40 Science So, if the quality of water is not maintained, it will not only be threatening for the environment or bio-diversity but the use of water for other purpuses will also be limited."
Water,Natural resource,Biodiversity,Biological entity,Affects,"40 Science So, if the quality of water is not maintained, it will not only be threatening for the environment or bio-diversity but the use of water for other purpuses will also be limited."
Water,Natural resource,Water,Natural resource,Used for,"40 Science So, if the quality of water is not maintained, it will not only be threatening for the environment or bio-diversity but the use of water for other purpuses will also be limited."
Water,Natural resource,Other purposes,Activity,Limited by quality maintenance,"40 Science So, if the quality of water is not maintained, it will not only be threatening for the environment or bio-diversity but the use of water for other purpuses will also be limited."
Water,Substance,Quality,Characteristic,Depends on,The quality of water depends on the purposes for which water is to be used.
Purposes,Intention,Water,Substance,Used for,The quality of water depends on the purposes for which water is to be used.
Water,Chemical compound,Color,Physical property,Lacks,Colour and Taste: You all know that pure water is colourless and odourless.
Water,Chemical compound,Odor,Physical property,Lacks,Colour and Taste: You all know that pure water is colourless and odourless.
Natural surface water,"River, Canal, Lake water",Aquatic lives,Living organism,Sustains,"Natural surface water in rivers, canals and lakes should be colourless and tasteless to sustain aquatic lives."
Turbidity,Physical property,Turbid water,Water type,Describes,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Aquatic flora,Organism,Turbid water,Water type,Affected by,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Aquatic fauna,Organism,Turbid water,Water type,Affected by,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Sunlight,Physical entity,Turbid water,Water type,Hindered by,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Photosynthesis,Biological process,Aquatic plants,Organism,Reduced by,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Aquatic plants,Organism,Turbid water,Water type,Affected by,Turbidity Turbid water could be harmful to aquatic flora and fauna because turbid water hinders the penetration of sunlight resulting in reduced photosynthesis of aquatic plants.
Aquatic plants,Plant type,Growth,Biological process,Hampered,"As a result, growth of the aquatic plants is hampered and oxygen produc- tion by photosynthesis decreases as well."
Aquatic plants,Plant type,Oxygen production,Biological process,Decreases,"As a result, growth of the aquatic plants is hampered and oxygen produc- tion by photosynthesis decreases as well."
Photosynthesis,Biological process,Oxygen production,Biological process,Related,"As a result, growth of the aquatic plants is hampered and oxygen produc- tion by photosynthesis decreases as well."
Fish,Aquatic animal,Turbid water,Water type,Located in,"Moreover, in turbid water fish and other aquatic animals suffer from problems related to food collection."
Food collection,Activity,Fish,Aquatic animal,Related to,"Moreover, in turbid water fish and other aquatic animals suffer from problems related to food collection."
Water,Substance,Turbid,Physical property,Becomes,Water becomes turbid for natural reasons like river erosion siltation etc.
River erosion,Natural process,Water,Substance,Causes,Water becomes turbid for natural reasons like river erosion siltation etc.
Siltation,Natural process,Water,Substance,Causes,Water becomes turbid for natural reasons like river erosion siltation etc.
Substances,Material,Soil,Material,Type of substance,"If these types of substances, especially soil and sand, increase significantly, at a stage, they settle down as sediment at the bottom of the river."
Substances,Material,Sand,Material,Type of substance,"If these types of substances, especially soil and sand, increase significantly, at a stage, they settle down as sediment at the bottom of the river."
Sediment,Material,River,Body of water,Location,"If these types of substances, especially soil and sand, increase significantly, at a stage, they settle down as sediment at the bottom of the river."
Bottom,Location,River,Body of water,Location,"If these types of substances, especially soil and sand, increase significantly, at a stage, they settle down as sediment at the bottom of the river."
Sediment,Material,Bottom,Location,Settles down at,"If these types of substances, especially soil and sand, increase significantly, at a stage, they settle down as sediment at the bottom of the river."
Navigability,Physical property,Water vehicles,Transportation mode,Affected by,"As a result, navigability decreases resulting in a huge problem for the water vehicles like ships, launches, boats etc."
Ships,Water vehicle,Navigability,Physical property,Dependent on,"As a result, navigability decreases resulting in a huge problem for the water vehicles like ships, launches, boats etc."
Launches,Water vehicle,Navigability,Physical property,Dependent on,"As a result, navigability decreases resulting in a huge problem for the water vehicles like ships, launches, boats etc."
Boats,Water vehicle,Navigability,Physical property,Dependent on,"As a result, navigability decreases resulting in a huge problem for the water vehicles like ships, launches, boats etc."
Radioactive substances,Chemical substance,Water,Chemical substance,Present in,Presence of Radioactive Substance The presence of radioactive substances in the water of rivers and canals can cause dangerous diseases like cancer in aquatic biota.
Rivers,Water body,Radioactive substances,Chemical substance,Present in,Presence of Radioactive Substance The presence of radioactive substances in the water of rivers and canals can cause dangerous diseases like cancer in aquatic biota.
Canals,Water body,Radioactive substances,Chemical substance,Present in,Presence of Radioactive Substance The presence of radioactive substances in the water of rivers and canals can cause dangerous diseases like cancer in aquatic biota.
Dangerous diseases,Medical condition,Aquatic biota,Living organism,Causes in,Presence of Radioactive Substance The presence of radioactive substances in the water of rivers and canals can cause dangerous diseases like cancer in aquatic biota.
Cancer,Medical condition,Aquatic biota,Living organism,Causes in,Presence of Radioactive Substance The presence of radioactive substances in the water of rivers and canals can cause dangerous diseases like cancer in aquatic biota.
River water,Water body,Radioactive substances,Chemical compound,Should be free from,"Therefore, river water, should be free from radioactive substances."
Surface water,Water body,Waste materials,Substance,Contain,"Presence of Waste Surface water must be free from waste materials because waste materials may """"I produce infectious microorganisms and that may cause disaster for aquatic biota."
Waste materials,Substance,Infectious microorganisms,Microorganism,Produce,"Presence of Waste Surface water must be free from waste materials because waste materials may """"I produce infectious microorganisms and that may cause disaster for aquatic biota."
Infectious microorganisms,Microorganism,Aquatic biota,Organism,Harm,"Presence of Waste Surface water must be free from waste materials because waste materials may """"I produce infectious microorganisms and that may cause disaster for aquatic biota."
Water,Chemical compound,Oxygen,Chemical element,Dissolved in,"~ ""I  Water for Life 41 Dissolved Oxygen As we need oxygen for respiration, aquatic fauna also need oxygen for their respiration."
Aquatic fauna,Organism,Oxygen,Chemical element,Needed for respiration,"~ ""I  Water for Life 41 Dissolved Oxygen As we need oxygen for respiration, aquatic fauna also need oxygen for their respiration."
We,Organism,Oxygen,Chemical element,Needed for respiration,"~ ""I  Water for Life 41 Dissolved Oxygen As we need oxygen for respiration, aquatic fauna also need oxygen for their respiration."
Water,Compound,Oxygen,Element,Contains,They get oxygen from water where oxygen is present as a dissolved gas.
Oxygen,Element,Water,Compound,Present as dissolved gas,They get oxygen from water where oxygen is present as a dissolved gas.
Water,Chemical compound,Dissolved oxygen,Chemical compound,Contains,"If the level of dissolved oxygen in water is reduced, it results in respiratory problem."
Respiratory problem,Medical condition,Dissolved oxygen,Chemical compound,Dependent on,"If the level of dissolved oxygen in water is reduced, it results in respiratory problem."
Aquatic fauna,Organism type,Dissolved oxygen,Chemical compound,Dependent on,"In fact, aquatic fauna can't survive without dissolved oxygen."
Minimum level,Measurement,Dissolved oxygen,Chemical compound,Required for sustaining life,It is to be noted that the minimum level of dissolved oxygen required for sustaining life in water bodies is 5 mg/litre.
Water bodies,Environment,Life,Biological entity,Sustained by,It is to be noted that the minimum level of dissolved oxygen required for sustaining life in water bodies is 5 mg/litre.
5 mg/litre,Measurement,Dissolved oxygen,Chemical compound,Minimum required,It is to be noted that the minimum level of dissolved oxygen required for sustaining life in water bodies is 5 mg/litre.
Water,Substance,Temperature,Physical quantity,Increase of,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
Dissolved oxygen,Chemical compound,Water,Substance,Amount of,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
Temperature,Physical quantity,Aquatic animals,Organism,Affects,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
Hatching,Biological process,Aquatic animals,Organism,Starting from,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
Physiological processes,Biological process,Aquatic animals,Organism,Affected by,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
Temperature,Physical quantity,Physiological processes,Biological process,Affects,"The increase of temperature in water results in reduced amount of dissolved oxygen in one hand, on the other hand, starting from hatching, many physiological processes of aquatic animals fall into trouble."
pH,Parameter,Water sample,Sample type,Evaluated for acidity/alkalinity,"pH pH is a parameter with which we can easily evaluate whether a water sample is neutral, acidic or alkaline."
Water,Molecule,pH,Measurement,Has pH value of,"For neutral water, pH is 7."
Water,Chemical compound,pH,Measurement,Affects,"If water is acidic pH becomes lower than 7 and if it is alkaline, pH becomes more than 7."
Acidic,Property,pH,Measurement,Lower than,"If water is acidic pH becomes lower than 7 and if it is alkaline, pH becomes more than 7."
Alkaline,Property,pH,Measurement,More than,"If water is acidic pH becomes lower than 7 and if it is alkaline, pH becomes more than 7."
Water,Chemical compound,Acid,Chemical compound,Contains,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
Acid,Chemical compound,Water,Chemical compound,Contained in,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
Water,Chemical compound,pH,Measurement,Affects,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
pH,Measurement,Acid,Chemical compound,Inversely proportional to,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
Water,Chemical compound,Alkali,Chemical compound,Contains,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
Alkali,Chemical compound,Water,Chemical compound,Contained in,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
Water,Chemical compound,pH,Measurement,Affects,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
pH,Measurement,Alkali,Chemical compound,Directly proportional to,"The higher the amount of acid in water, the lower the pH is, while the higher the amount of alkali, the higher the pH."
pH,Water quality parameter,Water,Chemical compound,Relates to,pH is a very important water quality parameter.
Surface water,Water body,Alkaline,Chemical property,Has,Usually surface water is alkaline.
pH range,Physical quantity,Aquatic biota,Organism type,Suitable for sustaining,It is found from research that a pH range of 6-8 is suitable for sustaining aquatic biota.
pH value,Physical quantity,Aquatic lives,Living organism,Affects,"If pH value alters significantly, it results in huge damage to aquatic lives."
Fish eggs,Organism,Newly hatched fishes,Organism,Same entity,Fish eggs and newly hatched fishes are very sensitive to pH.
pH,Chemical,Fish eggs,Organism,Affects,Fish eggs and newly hatched fishes are very sensitive to pH.
pH,Chemical,Newly hatched fishes,Organism,Affects,Fish eggs and newly hatched fishes are very sensitive to pH.
Water,Chemical compound,Acidic condition,Chemical property,of,"Highly acidic condition of water i.e., very low pH of water extracts important elements like calcium leading to deformation of aquatic biota."
Calcium,Chemical element,Water,Chemical compound,Extracted from,"Highly acidic condition of water i.e., very low pH of water extracts important elements like calcium leading to deformation of aquatic biota."
Aquatic biota,Organism,Water,Chemical compound,Affected by,"Highly acidic condition of water i.e., very low pH of water extracts important elements like calcium leading to deformation of aquatic biota."
Deformation,Physical change,Aquatic biota,Organism,Caused by,"Highly acidic condition of water i.e., very low pH of water extracts important elements like calcium leading to deformation of aquatic biota."
Hilsha,Fish species,Sea water,Water type,Inhabits,"Although hilsha is a sea fish, it moves to fresh water for spawning because sea water is saline i.e., it contains huge amount of salt which sterilizes fish eggs."
Fresh water,Water type,Hilsha,Fish species,Moves to for spawning,"Although hilsha is a sea fish, it moves to fresh water for spawning because sea water is saline i.e., it contains huge amount of salt which sterilizes fish eggs."
Spawning,Biological process,Hilsha,Fish species,Occurs in,"Although hilsha is a sea fish, it moves to fresh water for spawning because sea water is saline i.e., it contains huge amount of salt which sterilizes fish eggs."
Sea water,Water type,Salt,Chemical compound,Contains,"Although hilsha is a sea fish, it moves to fresh water for spawning because sea water is saline i.e., it contains huge amount of salt which sterilizes fish eggs."
Salt,Chemical compound,Fish eggs,Reproductive cell,Sterilizes,"Although hilsha is a sea fish, it moves to fresh water for spawning because sea water is saline i.e., it contains huge amount of salt which sterilizes fish eggs."
Fish eggs,Organism,Young fish,Organism,Produce,"As a result, those fish eggs cannot produce young fish."
Hilsha fish,Fish species,Rivers,Water body,Migration occurs during spawning.,"So, it is a natural process that hilsha fish migrates to rivers at the time of spawing."
Aquatic fauna,Animal group,Fish,Animal type,Include,There are some aquatic fauna including certain species of fish which can spawn in water of high salinity.
Certain species of fish,Animal type,Water,Environmental factor,Spawn in,There are some aquatic fauna including certain species of fish which can spawn in water of high salinity.
Water,Environmental factor,High salinity,Environmental factor,Has,There are some aquatic fauna including certain species of fish which can spawn in water of high salinity.
Earth surface,Physical object,Water,Chemical substance,Covers,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Water,Chemical substance,Saline,Chemical substance,Type of,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Water,Chemical substance,Utilized,Action,Directly,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Earth surface,Physical object,Conservation of environment,Concept,Related to,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Water,Chemical substance,Role,Concept,Related to,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Recycling of water,Process,Environment,Concept,Related to,"Forma-6, Science, Class 9-10  42 Science 2.3 Recycling of Water and Role of Water in Conservation of Environment It is known to us that approximately 75% of the earth surface is covered with water, most of the water ( about 97%) is saline and that is why they can not be utilized directly for different purposes."
Rivers,Water resource,Fresh water,Water type,Contains,"Only 1 % of water resources we have is fresh and the major portion of it is available in rivers, lakes etc."
Lakes,Water resource,Fresh water,Water type,Contains,"Only 1 % of water resources we have is fresh and the major portion of it is available in rivers, lakes etc."
Fresh water,Water type,Pollution,Environmental issue,of,and it is being polluted (the pollution of fresh water will be discussed later in detail in this chapter).
Ground water,Natural resource,Toxic chemical substances,Chemical compound,Contaminated by,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Ground water,Natural resource,Arsenic,Chemical compound,Contaminated by,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Ground water,Natural resource,Drinking,Activity,Used for,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Ground water,Natural resource,Cooking,Activity,Used for,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Toxic chemical substances,Chemical compound,Arsenic,Chemical compound,Present in,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Arsenic,Chemical compound,Drinking,Activity,Unsuitable for,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Arsenic,Chemical compound,Cooking,Activity,Unsuitable for,"Even ground water being used for various purposes including drinking, is getting contaminated by toxic chemical substances like arsenic, and becoming unsuitable for drinking and cooking."
Water resources,Resource,Potable water,Water type,Limited amount,"Therefore, it clearly indicates that although we have a lot of water resources, the amount of potable and usable water is very limited."
Water resources,Resource,Usable water,Water type,Limited amount,"Therefore, it clearly indicates that although we have a lot of water resources, the amount of potable and usable water is very limited."
Potable water,Water type,Usable water,Water type,Subset of,"Therefore, it clearly indicates that although we have a lot of water resources, the amount of potable and usable water is very limited."
Water,Substance,Surfaces,Object,Evaporates from,You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Sunlight,Physical entity,Surfaces,Object,Required for,You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Water vapour,Substance,Atmosphere,Object,Enters into,You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Water vapour,Substance,Cloud,Object,Condenses into,You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Rain water,Substance,Surfaces,Object,Comes back as,You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Cloud,Object,Atmosphere,Object,"Forms from, Dissipates into",You have learnt previously from water cycle in class VII that water from surfaces evaporates at day time with the help of sunlight and enters into the atmosphere as vapour which goes upwards and at a stage condense into cloud and finally comes back as rain water.
Rain water,Water,Surface runoff,Water,Flows as,"A major part of the rain water flows as surface runoff and falls into waterbodies from where it is converted into vapour, condensed to cloud and precipitated as rain water."
Surface runoff,Water,Waterbodies,Water,Falls into,"A major part of the rain water flows as surface runoff and falls into waterbodies from where it is converted into vapour, condensed to cloud and precipitated as rain water."
Waterbodies,Water,Vapour,Water,Converted into,"A major part of the rain water flows as surface runoff and falls into waterbodies from where it is converted into vapour, condensed to cloud and precipitated as rain water."
Vapour,Water,Cloud,Weather phenomenon,Condensed to,"A major part of the rain water flows as surface runoff and falls into waterbodies from where it is converted into vapour, condensed to cloud and precipitated as rain water."
Cloud,Weather phenomenon,Rain water,Water,Precipitated as,"A major part of the rain water flows as surface runoff and falls into waterbodies from where it is converted into vapour, condensed to cloud and precipitated as rain water."
Recycling of water,Process,Droughts,Natural disaster,Affected by,"This recycling of water is very important because disruption of this recycling of water could lead to droughts or floods which in tum decrease the food production, and eventually long term droughts might tum the whole earth into a desert."
Recycling of water,Process,Floods,Natural disaster,Affected by,"This recycling of water is very important because disruption of this recycling of water could lead to droughts or floods which in tum decrease the food production, and eventually long term droughts might tum the whole earth into a desert."
Recycling of water,Process,Food production,Activity,Affects,"This recycling of water is very important because disruption of this recycling of water could lead to droughts or floods which in tum decrease the food production, and eventually long term droughts might tum the whole earth into a desert."
Food production,Activity,Recycling of water,Process,Affected by,"This recycling of water is very important because disruption of this recycling of water could lead to droughts or floods which in tum decrease the food production, and eventually long term droughts might tum the whole earth into a desert."
Long term droughts,Natural disaster,Earth,Planet,Affects,"This recycling of water is very important because disruption of this recycling of water could lead to droughts or floods which in tum decrease the food production, and eventually long term droughts might tum the whole earth into a desert."
Precipitation,Natural phenomenon,Water,Chemical compound,Recycled by,Precipitation is a kind of natural recycling of water.
Wastewater,Water type,Reuse,Process,Involves,"Ifwe collect wastewater after use and reuse it after treatment, the whole process will be a kind of recycle of water as well."
Treatment,Process,Wastewater,Water type,After use,"Ifwe collect wastewater after use and reuse it after treatment, the whole process will be a kind of recycle of water as well."
Recycle,Process,Water,Water type,Kind of,"Ifwe collect wastewater after use and reuse it after treatment, the whole process will be a kind of recycle of water as well."
Water,Natural resource,Environment,Ecosystem,Depends on,"Water for Life 43 Role of Water in Conservation of Nature As all the components and process of the environment depend on water directly or indirectly, so water is essential for a sustainable environment."
Components,Environmental factor,Water,Natural resource,Depend on,"Water for Life 43 Role of Water in Conservation of Nature As all the components and process of the environment depend on water directly or indirectly, so water is essential for a sustainable environment."
Process,Environmental factor,Water,Natural resource,Depend on,"Water for Life 43 Role of Water in Conservation of Nature As all the components and process of the environment depend on water directly or indirectly, so water is essential for a sustainable environment."
Environment,Ecosystem,Water,Natural resource,Essential for,"Water for Life 43 Role of Water in Conservation of Nature As all the components and process of the environment depend on water directly or indirectly, so water is essential for a sustainable environment."
Water,Natural resource,Sustainable environment,Environmental state,Essential for,"Water for Life 43 Role of Water in Conservation of Nature As all the components and process of the environment depend on water directly or indirectly, so water is essential for a sustainable environment."
Plant,Organism,Water,Chemical compound,Dependent on,"If there is no water, plant will not grow, there will be no food production."
Plant,Organism,Food production,Biological process,Dependent on,"If there is no water, plant will not grow, there will be no food production."
Our existence,Concept,Environment,Concept,Depends on,"In short, our exis- tence along with the whole environment will be destroyed with out water."
Water,Substance,Existence and Environment,Concept,Essential for,"In short, our exis- tence along with the whole environment will be destroyed with out water."
Hands,Body part,Face,Body part,None (no relation given),We wash our hands and face.
Water,Chemical compound,Daily life,Activity,Used in,"Whatever we do in our daily life, we need to use water."
Water,Chemical compound,Taking bath,Activity,Needed for,"Starting from taking bath to cooking food, we need water."
Water,Chemical compound,Cooking food,Activity,Needed for,"Starting from taking bath to cooking food, we need water."
Water,Substance,Quality,Attribute,Of,"If this water is not of good quality, we have to face a lot of troubles."
Troubles,Event,Water,Substance,Dependent on,"If this water is not of good quality, we have to face a lot of troubles."
Water,Substance,Saline,Adjective,is,"For example, if the water is saline or has bad odour, we cannot drink it."
Water,Substance,Bad odour,Characteristic,has,"For example, if the water is saline or has bad odour, we cannot drink it."
Water,Substance,Drink,Action,cannot,"For example, if the water is saline or has bad odour, we cannot drink it."
Surface water,Water body,South western part of Bangladesh,Region,Located in,Surface water in several districts in south western part of Bangladesh has become saline and that is why residents in those areas have been suffering from severe lack of fresh water.
Saline,Chemical property,Surface water,Water body,Has become,Surface water in several districts in south western part of Bangladesh has become saline and that is why residents in those areas have been suffering from severe lack of fresh water.
Residents,Human,Those areas,Region,Inhabit,Surface water in several districts in south western part of Bangladesh has become saline and that is why residents in those areas have been suffering from severe lack of fresh water.
Fresh water,Water type,Residents,Human,Lack of,Surface water in several districts in south western part of Bangladesh has become saline and that is why residents in those areas have been suffering from severe lack of fresh water.
They,Pronoun,Surface water,Water source,Cannot utilize,They can't utilize surface water for drinking and other purposes.
Drinking,Activity,Surface water,Water source,Purpose,They can't utilize surface water for drinking and other purposes.
They,Pronoun,Rainwater,Water source,Collect,"So, they have to collect rainwater, and use it after purification."
Rainwater,Water source,They,Pronoun,Collected by,"So, they have to collect rainwater, and use it after purification."
They,Pronoun,Purification,Process,Use after,"So, they have to collect rainwater, and use it after purification."
Purification,Process,Rainwater,Water source,Used on,"So, they have to collect rainwater, and use it after purification."
Drinking water,Resource,Quality,Characteristic,Of,"Moreover, if the drinking water is not of good quality, particularly if it contains disease causing germs, it may lead to severe public health problem."
Disease causing germs,Pathogen,Drinking water,Resource,Contains,"Moreover, if the drinking water is not of good quality, particularly if it contains disease causing germs, it may lead to severe public health problem."
Public health problem,Health issue,Drinking water,Resource,May lead to,"Moreover, if the drinking water is not of good quality, particularly if it contains disease causing germs, it may lead to severe public health problem."
