Entity,Definition
Octopus,"An octopus (PL: octopuses or octopodes, see below for variants) is a soft-bodied, eight-limbed mollusc of the order Octopoda (, ok-TOP-ə-də)."
Seabed,"The seabed (also known as the seafloor, sea floor, ocean floor, and ocean bottom) is the bottom of the ocean."
Gill,A gill ( (listen)) is a respiratory organ that many aquatic organisms use to extract dissolved oxygen from water and to excrete carbon dioxide.
Whale,Whales are a widely distributed and diverse group of fully aquatic placental marine mammals.
Air,Not found on Wikipedia
Pond,"A pond is a small, still, land-based body of water formed by pooling inside a depression, either naturally or artificially."
Aquatic plant,Aquatic plants are plants that have adapted to living in aquatic environments (saltwater or freshwater).
Flower,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Angiospermae)."
Bend (geology),Not found on Wikipedia
Frog,"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura (ανοὐρά, literally without tail in Ancient Greek)."
Leg,"A leg is a weight-bearing and locomotive anatomical structure, usually having a columnar shape."
Swimming,"Swimming is the self-propulsion of a person through water, or other liquid, usually for recreation, sport, exercise, or survival."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Floating plant,Not found on Wikipedia
Non-living,Not found on Wikipedia
Chair,"A chair is a type of seat, typically designed for one person and consisting of one or more legs, a flat or slightly angled seat and a back-rest."
Complete Nonsense,Not found on Wikipedia
Chair table stone,Not found on Wikipedia
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia."
Bus,"A bus (contracted from omnibus, with variants multibus, motorbus, autobus, etc.) is a road vehicle that carries significantly more passengers than an average car or van."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Said the Table to the Chair,Not found on Wikipedia
Chicken,"The chicken (Gallus gallus domesticus) is a domesticated junglefowl species, with attributes of wild species such as the grey and the Ceylon junglefowl that are originally from Southeast Asia."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Type plant,Not found on Wikipedia
Young bird,Not found on Wikipedia
Stage of growth,Not found on Wikipedia
New Zealand,New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is an island country in the southwestern Pacific Ocean.
Growth,Growth may refer to:
Breathing,"Breathing (or ventilation) is the process of moving air into and from the lungs to facilitate gas exchange with the internal environment, mostly to flush out carbon dioxide and bring in oxygen."
Oxygen,Oxygen is the chemical element with the symbol O and atomic number 8.
Carbon dioxide,Carbon dioxide (chemical formula CO2) is a chemical compound made up of molecules that each have one carbon atom covalently double bonded to two oxygen atoms.
Cattle,"Cattle (Bos taurus) are large, domesticated, cloven-hooved, herbivores."
Abdomen,"The abdomen (colloquially called the belly, tummy, midriff, tucky or stomach) is the part of the body between the thorax (chest) and pelvis, in humans and in other vertebrates."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Photosynthesis,"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities."
Energy,"In physics, energy (from Ancient Greek  ἐνέργεια (enérgeia) 'activity') is the quantitative property that is transferred to a body or to a physical system, recognizable in the performance of work and in the form of heat and light."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Hinduism,"Hinduism () is an Indian religion or dharma, a religious and universal order or way of life by which followers abide."
Adult,An adult is a human or other animal that has reached full growth.
Young animal,Not found on Wikipedia
Adult,An adult is a human or other animal that has reached full growth.
Adult,An adult is a human or other animal that has reached full growth.
Repiration,Not found on Wikipedia
Breathing,"Breathing (or ventilation) is the process of moving air into and from the lungs to facilitate gas exchange with the internal environment, mostly to flush out carbon dioxide and bring in oxygen."
Atmosphere of Earth,"The atmosphere of Earth is the layer of gases, known collectively as air, retained by Earth's gravity that surrounds the planet and forms its planetary atmosphere."
Air,Not found on Wikipedia
Repiration,Not found on Wikipedia
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Thorn,Thorn(s) or The Thorn(s) may refer to:
Eye shut,Not found on Wikipedia
Y our favourite food,Not found on Wikipedia
World War II,"World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945."
Stimulant,"Stimulants (also often referred to as psychostimulants or colloquially as uppers) is an overarching term that covers many drugs including those that increase activity of the central nervous system and the body, drugs that are pleasurable and invigorating, or drugs that have sympathomimetic effects."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Bird,"Birds are a group of warm-blooded vertebrates constituting the class Aves (), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton."
Light,Light or visible light is electromagnetic radiation that can be perceived by the human eye.
Mimosa,"Mimosa is a genus of about 590 species of herbs and shrubs, in the mimosoid clade of the legume family Fabaceae."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Window,"A window is an opening in a wall, door, roof, or vehicle that allows the exchange of light and may also allow the passage of sound and sometimes air."
Pseudanthium,"A pseudanthium (Greek for ""false flower""; pl."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Eating,"Eating (also known as consuming) is the ingestion of food, typically to provide a heterotrophic organism with  energy and to allow for growth."
Wastes,Not found on Wikipedia
Wastes,Not found on Wikipedia
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Excretion,Excretion is a process in which metabolic waste 
Mode of reproduction,Not found on Wikipedia
Egg,"An egg is an organic vessel grown by an animal to carry a possibly fertilized egg cell (a zygote) and to incubate from it an embryo within the egg until the embryo has become an animal fetus that can survive on its own, at which point the animal hatches."
Mother,A mother is the female parent of a child.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Bird,"Birds are a group of warm-blooded vertebrates constituting the class Aves (), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton."
Egg,"An egg is an organic vessel grown by an animal to carry a possibly fertilized egg cell (a zygote) and to incubate from it an embryo within the egg until the embryo has become an animal fetus that can survive on its own, at which point the animal hatches."
HABITATSL,Not found on Wikipedia
Pla ce,Not found on Wikipedia
Bus,"A bus (contracted from omnibus, with variants multibus, motorbus, autobus, etc.) is a road vehicle that carries significantly more passengers than an average car or van."
Death,Death is the irreversible cessation of all biological functions that sustain an organism.
Death,Death is the irreversible cessation of all biological functions that sustain an organism.
Death,Death is the irreversible cessation of all biological functions that sustain an organism.
Plant reproduction,"Plant reproduction is the production of new offspring in plants, which can be accomplished by sexual or asexual reproduction."
Potato,"The potato is a starchy food, a tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas."
Cuttling,Not found on Wikipedia
Rose,"A rose is either a woody perennial flowering plant of the genus Rosa (), in the family Rosaceae (), or the flower it bears."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Cutting (botany),Not found on Wikipedia
Gr ow,Not found on Wikipedia
Bud,"In botany, a bud is an undeveloped or embryonic shoot and normally occurs in the axil of a leaf or at the tip of a stem."
Reproduction,"Reproduction (or procreation or breeding) is the biological process by which new individual organisms – ""offspring"" – are produced from their ""parent"" or parents."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Moon,The Moon is Earth's only natural satellite.
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Moong,Not found on Wikipedia
Is it living,Not found on Wikipedia
Reproduction,"Reproduction (or procreation or breeding) is the biological process by which new individual organisms – ""offspring"" – are produced from their ""parent"" or parents."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Wheat,"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food."
Respiration,Respiration may refer to:
R espiration,Not found on Wikipedia
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Aquatic habitat,Not found on Wikipedia
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Atmosphere of Earth,"The atmosphere of Earth is the layer of gases, known collectively as air, retained by Earth's gravity that surrounds the planet and forms its planetary atmosphere."
What is a habitat 2,Not found on Wikipedia
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Sewing machine,A sewing machine is a machine used to sew fabric and materials together with thread.
W ool,Not found on Wikipedia
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Magazine,"A magazine is a periodical publication, generally published on a regular schedule (often weekly or monthly), containing a variety of content."
Earth,Earth is the third planet from the Sun and the only place known in the universe where life has originated and found habitability.
Zoo,"A zoo (short for zoological garden; also called an animal park or menagerie) is a facility in which animals are kept within enclosures for public exhibition and often bred for conservation purposes.The term zoological garden refers to zoology, the study of animals."
Polar bear,"The polar bear (Ursus maritimus) is a hypercarnivorous bear whose native range lies largely within the Arctic Circle, encompassing the Arctic Ocean, its surrounding seas and surrounding land masses, this includes the most northern regions of North America and Eurasia."
Himalayas,"The Himalayas, or Himalaya (; Sanskrit: [ɦɪmaːlɐjɐ]; from Sanskrit  himá 'snow, frost', and  ā-laya 'dwelling, abode'), is a mountain range in Asia, separating the plains of the Indian subcontinent from the Tibetan Plateau."
Habitat album,Not found on Wikipedia
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Branching tree,Not found on Wikipedia
Train,"A train (from Old French trahiner, from Latin trahere, ""to pull, to draw"") is a series of connected vehicles that run along a railway track and transport people or freight."
Aircraft,An aircraft is a vehicle that is able to fly by gaining support from the air.
Mars,"Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System, larger only than Mercury."
Earth,Earth is the third planet from the Sun and the only place known in the universe where life has originated and found habitability.
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Boat,"A boat is a watercraft of a large range of types and sizes, but generally smaller than a ship, which is distinguished by its larger size, shape, cargo or passenger capacity, or its ability to carry boats."
Log,Log most often refers to:
Boat,"A boat is a watercraft of a large range of types and sizes, but generally smaller than a ship, which is distinguished by its larger size, shape, cargo or passenger capacity, or its ability to carry boats."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Chapters 8,Not found on Wikipedia
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Steam engine,A steam engine is a heat engine that performs mechanical work using steam as its working fluid.
Rail transport,"Rail transport (also known as train transport) is a means of transport that transfers passengers and goods on wheeled vehicles running on rails, which are incorporated in tracks."
Car,A car or automobile is a motor vehicle with wheels.
Motorised boat,Not found on Wikipedia
Aircraft,An aircraft is a vehicle that is able to fly by gaining support from the air.
Passenger,"A passenger (also abbreviated as pax) is a person who travels in a vehicle, but does not bear any responsibility for the tasks required for that vehicle to arrive at its destination or otherwise operate the vehicle, and is not a steward."
Electric rail,Not found on Wikipedia
How did people know how far they have travelled,Not found on Wikipedia
Desk,"A desk or bureau is a piece of furniture with a flat table-style work surface used in a school, office, home or the like for academic, professional or domestic activities such as reading, writing, or using equipment such as a computer."
Gilli,Gilli may refer to:
Danda,"In Indic scripts, the daṇḍa (Sanskrit: दण्ड daṇḍa ""stick"") is a punctuation mark."
Danda length,Not found on Wikipedia
Danda,"In Indic scripts, the daṇḍa (Sanskrit: दण्ड daṇḍa ""stick"") is a punctuation mark."
Canada,Canada is a country in North America.
Boojho,Not found on Wikipedia
Gilli,Gilli may refer to:
Gilli,Gilli may refer to:
Desk length,Not found on Wikipedia
Wicket,"In cricket, the term wicket has several meanings: "
String length,Not found on Wikipedia
Length,Length is a measure of distance.
String length,Not found on Wikipedia
Y es,Not found on Wikipedia
Stitch (textile arts),"In the textile arts, a stitch  is a single turn or loop of thread, or yarn."
Carpentry,"Carpentry is a skilled trade and a craft in which the primary work performed is the cutting, shaping and installation of building materials during the construction of buildings, ships, timber bridges, concrete formwork, etc."
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Heel,The heel is the prominence at the posterior end of the foot.
Delhi,"Delhi, officially the National Capital Territory (NCT) of Delhi, is a city and a union territory of India containing New Delhi, the capital of India."
Jammu,Jammu  is the winter capital of the Indian union territory of Jammu and Kashmir.
MEASUREMENTS Activity 1,Not found on Wikipedia
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
SCIENCE unit of length,Not found on Wikipedia
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
Table (furniture),"A table is an item of furniture with a raised flat top and is supported most commonly by 1 or 4 legs (although some can have more), used as a surface for working at, eating from or on which to place things."
Unit (unit),Not found on Wikipedia
Part of measurement,Not found on Wikipedia
Unit of measurement,"A unit of measurement is a definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity."
Length,Length is a measure of distance.
Handspan,Not found on Wikipedia
Standar d,Not found on Wikipedia
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
 width,Not found on Wikipedia
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
Indus Valley Civilisation,"The Indus Valley Civilisation  (IVC), also known as the Indus Civilisation or the Harappan Civilisation was a Bronze Age civilisation in the northwestern regions of South Asia, lasting from 3300 BCE to 1300 BCE, and in its mature form 2600 BCE to 1900 BCE. Together with ancient Egypt and Mesopotamia, it was one of three early civilisations of the Near East and South Asia, and of the three, the most widespread."
Cubit,The cubit is an ancient unit of length based on the distance from the elbow to the tip of the middle finger.
ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½yardÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ of cloth,Not found on Wikipedia
Step,Step(s) or STEP may refer to:
Angul finger,Not found on Wikipedia
Garnish,Garnish may refer to:
Length,Length is a measure of distance.
Size,Size in general is the magnitude or dimensions of a thing.
Th,Not found on Wikipedia
Metric system,The metric system is a system of measurement that succeeded the decimalised system based on the metre that had been introduced in France in the 1790s.
Unit of measurement,"A unit of measurement is a definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity."
Scale (metre),Not found on Wikipedia
Centimetre,"A centimetre (international spelling) or centimeter (American spelling) (SI symbol cm) is a unit of length in the International System of Units (SI), equal to one hundredth of a metre, centi being the SI prefix for a factor of 1/100."
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
W e,Not found on Wikipedia
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
ENGTH,Not found on Wikipedia
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
Measurement device,Not found on Wikipedia
Tree,"In botany, a tree is a perennial plant with an elongated stem, or trunk, usually supporting branches and leaves."
Measuring tape,Not found on Wikipedia
Centimetre,"A centimetre (international spelling) or centimeter (American spelling) (SI symbol cm) is a unit of length in the International System of Units (SI), equal to one hundredth of a metre, centi being the SI prefix for a factor of 1/100."
Length,Length is a measure of distance.
Scale (geometry),Not found on Wikipedia
Break (music),"In popular music, a break is an instrumental or percussion section during a song derived from or related to stop-time – being a ""break"" from the main parts of the song or piece."
0,0 (zero) is a number representing an empty quantity.
0,0 (zero) is a number representing an empty quantity.
Reading,"Reading is the process of taking in the sense or meaning of letters, symbols, etc., especially by sight or touch.For educators and researchers, reading is a multifaceted process involving such areas as word recognition, orthography (spelling), alphabetics, phonics, phonemic awareness, vocabulary, comprehension, fluency, and motivation.Other types of reading and writing, such as pictograms (e.g., a hazard symbol and an emoji), are not based on speech-based writing systems."
1,"1 (one, unit, unity) is a number representing a single or the only entity."
3,"3 (three) is a number, numeral and digit."
Portant (measurement),Not found on Wikipedia
Eye chart,"An eye chart, or optotype, is a chart used to subjectively measure visual acuity."
Position B,Not found on Wikipedia
Lieutenant,"A lieutenant (UK:  lef-TEN-ənt, US:  loo-TEN-ənt; abbreviated Lt., Lt, LT, Lieut and similar) is a commissioned officer rank in the armed forces of many nations."
A,"A, or a, is the first letter and the first vowel of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide."
Back against a wall,Not found on Wikipedia
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
SI standard scale,Not found on Wikipedia
Hand span,Not found on Wikipedia
Error detection and correction,"In information theory and coding theory with applications in computer science and telecommunication, error detection and correction (EDAC) or error control are techniques that enable reliable delivery of digital data over unreliable communication channels."
Measurement error,Not found on Wikipedia
Th ead,Not found on Wikipedia
Line curve,Not found on Wikipedia
Knot,"A knot is an intentional complication in cordage which may be practical or decorative, or both."
Finger,"A finger is a limb of the body and a type of digit, an organ of manipulation and sensation found in the hands of most of the Tetrapods, so also with humans and other primates."
End point,Not found on Wikipedia
9 B,Not found on Wikipedia
Table 10,Not found on Wikipedia
Measurement of height,Not found on Wikipedia
SCIENCE,Not found on Wikipedia
End (textiles),Not found on Wikipedia
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
Mark (knot),Not found on Wikipedia
AB (Paris MÃÂ©tro),Not found on Wikipedia
Unit of measurement,"A unit of measurement is a definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity."
7 M OVING THINGS AROUND US Activity 5,Not found on Wikipedia
Rest (physiology),Not found on Wikipedia
Rest (geology),Not found on Wikipedia
Activity 6,Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Pencil,"A pencil ( (listen)) is a writing or drawing implement with a solid pigment core in a protective casing that reduces the risk of core breakage, and keeps it from marking the user's hand."
Mark marking its position,Not found on Wikipedia
Arrow,An arrow is a fin-stabilized projectile launched by a bow.
Motion of an ant,Not found on Wikipedia
Motion,"In physics, motion is the phenomenon in which an object changes its position with respect to time."
Rectilinear motion,Not found on Wikipedia
Marked ant,Not found on Wikipedia
Time,"Time is the continued sequence of existence and events that occurs in an apparently irreversible succession from the past, through the present, into the future."
March past,Not found on Wikipedia
100 metres,"The 100 metres, or 100-meter dash, is a sprint race in track and field competitions."
Blade,"A blade is the portion of a tool, weapon, or machine with an edge that is designed to puncture, chop, slice or scrape surfaces or materials."
Electric fan,Not found on Wikipedia
Rectilinear motion,Not found on Wikipedia
Whirl,Whirl may refer to:
W e see that the stone moves along a circular path,Not found on Wikipedia
Kabbalah,"Kabbalah (Hebrew: קַבָּלָה Qabbālā, literally ""reception, tradition"") is an esoteric method, discipline and school of thought in Jewish mysticism."
Circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular path."
Sewing machine,A sewing machine is a machine used to sew fabric and materials together with thread.
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Clock,A clock or a timepiece is a device used to measure and indicate time.
Blade,"A blade is the portion of a tool, weapon, or machine with an edge that is designed to puncture, chop, slice or scrape surfaces or materials."
Motion,"In physics, motion is the phenomenon in which an object changes its position with respect to time."
Periodic motion,•Uniform Circular Motion
Activity 7 (Buddhism),Not found on Wikipedia
Hindu temple,"A Hindu temple, or mandir or koil or kovil in Indian languages, is a house, seat and body of divinity for Hindus."
This pendulum,Not found on Wikipedia
Let it go,Not found on Wikipedia
 pendulum swing,Not found on Wikipedia
Tabla,"A tabla is a pair of twin hand drums from the Indian subcontinent, that are somewhat similar in shape to the bongos."
Mode of transport,Mode of transport is a term used to distinguish between different ways of transportation or transporting people or goods.
System of measurement,A system of measurement is a collection of units of measurement and rules relating them to each other.
World Heritage Site,"A World Heritage Site is a landmark or area with legal protection by an international convention administered by the United Nations Educational, Scientific and Cultural Organization (UNESCO)."
Rotation,"Rotation, or spin, is the circular movement of an object around a central axis."
Rectilinear motion,Not found on Wikipedia
Position,Position often refers to:
Distance,Distance is a numerical or occasionally qualitative measurement of how far apart objects or points are.
Slow motion,Slow motion (commonly abbreviated as slo-mo or slow-mo) is an effect in film-making whereby time appears to be slowed down.
Moon,The Moon is Earth's only natural satellite.
Classr oom,Not found on Wikipedia
Did the ball move along a straight line 2,Not found on Wikipedia
Foot length,Not found on Wikipedia
Foot length,Not found on Wikipedia
Air transport,Not found on Wikipedia
Five kilometre,Not found on Wikipedia
Motion of a child on a swing,Not found on Wikipedia
Sewing needle,"A sewing needle, used for hand-sewing, is a long slender tool with a pointed tip at one end and a hole (or eye) to hold the sewing thread."
Bicycle wheel,"A bicycle wheel is a wheel, most commonly a wire wheel, designed for a bicycle."
Pace (unit),"A pace is a unit of length consisting either of one normal walking step (approximately 0.75 metres or 30 inches), or of a double step, returning to the same foot (approximately 1.5 metres or 60 inches)."
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
Person,"A person (PL: people) is a being that has certain capacities or attributes such as reason, morality, consciousness or self-consciousness, and being a part of a culturally established form of social relations such as kinship, ownership of property, or legal responsibility."
Radha,"Radha (Sanskrit: राधा, IAST: Rādhā), also called Radhika, is a Hindu goddess and the chief consort of the god Krishna."
Knitting needle,A knitting needle or knitting pin is a tool in hand-knitting to produce knitted fabrics.
Sewing needle,"A sewing needle, used for hand-sewing, is a long slender tool with a pointed tip at one end and a hole (or eye) to hold the sewing thread."
Fan,Fan commonly refers to:
Natural rubber,"Rubber, also called India rubber, latex, Amazonian rubber, caucho, or caoutchouc, as initially produced, consists of polymers of the organic compound isoprene, with minor impurities of other organic compounds."
Circle,"A circle is a shape consisting of all points in a plane that are at a given distance from a given point, the centre."
Reflection (optics),Not found on Wikipedia
Car,A car or automobile is a motor vehicle with wheels.
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Dark room,Not found on Wikipedia
Candle,"A candle is an ignitable wick embedded in wax, or another flammable solid substance such as tallow, that provides light, and in some cases, a fragrance."
Light,Light or visible light is electromagnetic radiation that can be perceived by the human eye.
Light,Light or visible light is electromagnetic radiation that can be perceived by the human eye.
Sun,The Sun is the star at the center of the Solar System.
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Sun,The Sun is the star at the center of the Solar System.
Sun,The Sun is the star at the center of the Solar System.
Transparent,Not found on Wikipedia
Transparent object,Not found on Wikipedia
Tracing paper,"Tracing paper is paper made to have low opacity, allowing light to pass through."
Table 11,Not found on Wikipedia
Pigment,A pigment is a colored material that is completely or nearly insoluble in water.
What EXACTL Y ARE SHADOWS Activity 2,Not found on Wikipedia
Shadow,A shadow is a dark area where light from a light source is blocked by an opaque object.
Spread a sheet of paper on the ground,Not found on Wikipedia
Drawing,Drawing is a form of visual art in which an artist uses instruments to mark paper or other two-dimensional surface.
Shadow,A shadow is a dark area where light from a light source is blocked by an opaque object.
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Activity 3,Not found on Wikipedia
Association football,"Association football, more commonly known as football or soccer, is a team sport played between two teams of 11 players who primarily use their feet to propel a ball around a rectangular field called a pitch."
Shining,"Shining, The Shining or Shinin may refer to:"
 opaque object,Not found on Wikipedia
Shadow,A shadow is a dark area where light from a light source is blocked by an opaque object.
Torah,"The Torah (; Biblical Hebrew: תּוֹרָה‎ Tōrā, ""Instruction"", ""Teaching"" or ""Law"") is the compilation of the first five books of the Hebrew Bible, namely the books of Genesis, Exodus, Leviticus, Numbers and Deuteronomy."
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Computer screen,Not found on Wikipedia
Ground wall,Not found on Wikipedia
Shape,"A shape or figure is a graphical representation of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type."
4,"4 (four) is a number, numeral and digit."
Shadow,A shadow is a dark area where light from a light source is blocked by an opaque object.
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.
Shadows,Not found on Wikipedia
Red rose,Red rose may refer to:
Shortest shadow,Not found on Wikipedia
Fig. 11,Not found on Wikipedia
INHOLE CAMERA,Not found on Wikipedia
Pinhole camera,A pinhole camera is a simple camera without a lens but with a tiny aperture (the so-called pinhole)—effectively a light-proof box with a small hole in one side.
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.
Piano,The piano is a stringed keyboard instrument in which the strings are struck by wooden hammers that are coated with a softer material (modern hammers are covered with dense wool felt; some early pianos used leather).
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.
Tracing paper,"Tracing paper is paper made to have low opacity, allowing light to pass through."
Tracing paper,"Tracing paper is paper made to have low opacity, allowing light to pass through."
Pinhole camera,A pinhole camera is a simple camera without a lens but with a tiny aperture (the so-called pinhole)—effectively a light-proof box with a small hole in one side.
Sun,The Sun is the star at the center of the Solar System.
Sun,The Sun is the star at the center of the Solar System.
Solar eclipse,"A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby obscuring the view of the Sun from a small part of the Earth, totally or partially."
Pinhole,Not found on Wikipedia
Solar Eclipse,Not found on Wikipedia
Fig (symbol),Not found on Wikipedia
Sun,The Sun is the star at the center of the Solar System.
HIV,The human immunodeficiency viruses (HIV) are two species of Lentivirus (a subgroup of retrovirus) that infect humans.
Star,A star is an astronomical object comprising a luminous spheroid of plasma held together by self-gravity.
Pinhole,Not found on Wikipedia
Sun,The Sun is the star at the center of the Solar System.
T ry,Not found on Wikipedia
Pinhole,Not found on Wikipedia
Candle,"A candle is an ignitable wick embedded in wax, or another flammable solid substance such as tallow, that provides light, and in some cases, a fragrance."
Pipe (light fixture),Not found on Wikipedia
Pinhole,Not found on Wikipedia
That could be so much fun,Not found on Wikipedia
