Entity,Definition,Images
Geographic location,Not found on Wikipedia,['Image not found']
Cradle,Cradle may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Cerium-sulphate,Not found on Wikipedia,['Image not found']
Repiration,Not found on Wikipedia,['Image not found']
Curvilinear motion,The motion of an object moving in a curved path is called curvilinear motion.,['Image not found']
Angle,"In Euclidean geometry, an angle is the figure formed by two rays, called the sides of the angle, sharing a common endpoint, called the vertex of the angle.","['https://upload.wikimedia.org/wikipedia/commons/4/44/Adjacentangles.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Angle.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Angle_measure.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Angle_obtuse_acute_straight.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Angle_radian.svg']"
Sclera,"The sclera, also known as the white of the eye or, in older literature, as the tunica albuginea oculi, is the opaque, fibrous, protective, outer layer of the human eye containing mainly collagen and some crucial elastic fiber.","['https://upload.wikimedia.org/wikipedia/commons/a/a6/A_cow%27s_eye.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Closeup_of_goat_eye.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/Eye-diagram_no_circles_border.svg']"
Forma-3,Not found on Wikipedia,['Image not found']
Protein,Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues.,"['https://upload.wikimedia.org/wikipedia/commons/2/26/225_Peptide_Bond-01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Chaperonin_1AON.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png']"
Melting,"Melting, or fusion, is a physical process that results in the phase transition of a substance from a solid to a liquid.","['https://upload.wikimedia.org/wikipedia/commons/1/16/Melting_icecubes.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Phase_change_-_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Moion,Not found on Wikipedia,['Image not found']
Static pulley,Not found on Wikipedia,['Image not found']
F'7,Not found on Wikipedia,['Image not found']
Magma,Magma (from Ancient Greek  μάγμα (mágma) 'thick unguent') is the molten or semi-molten natural material from which all igneous rocks are formed.,"['https://upload.wikimedia.org/wikipedia/commons/6/6d/Diopside-anorthite_phase_diagram.png', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Double_tet.png', 'https://upload.wikimedia.org/wikipedia/commons/0/06/Fractional_crystallization.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Pahoehoe_toe.jpg']"
100 Science Fig. 1,Not found on Wikipedia,['Image not found']
Death,Death is the irreversible cessation of all biological functions that sustain an organism.,"['https://upload.wikimedia.org/wikipedia/commons/5/5e/All_causes_world_map-Deaths_per_million_persons-WHO2012.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Cryo_surgery.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Earthworm.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/ExtinctDodoBird.jpeg']"
Correct answer,Not found on Wikipedia,['Image not found']
4 cc,Not found on Wikipedia,['Image not found']
Aqueous solution,An aqueous solution is a solution in which the solvent is water.,"['https://upload.wikimedia.org/wikipedia/commons/6/67/Na%2BH2O.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Free software,"Free software or libre software is computer software distributed under terms that allow users to run the software for any purpose as well as to study, change, and distribute it and any adapted versions.","['https://upload.wikimedia.org/wikipedia/commons/0/0d/BgeCarSc.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Blender-telainicial.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Captura_de_pagina_de_manual_de_OpenSSL.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Categories_of_free_and_nonfree_software.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/ClamTK3.08.jpg']"
Onion,"An onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.","['https://upload.wikimedia.org/wikipedia/commons/d/db/%22Oregon_Onion_Market%22_%22Higher_Prices%22_%22Dealer%22_%22I_Guess_We_Had_Better_Let_Go%2C_Boys.%22_3_cent_market_cartoon_in_The_Oregon_Daily_Journal.%2C_February_19%2C_1905%2C_page_22.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/ARS_red_onion.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/An_onion%2C_woodcut%2C_1547_Wellcome_L0029214.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Cells_from_a_red_onion_epidermal_peel.tif', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Cipollatropea.jpg']"
Crust,Crust may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Furniture,"Furniture refers to movable objects intended to support various human activities such as seating (e.g., stools, chairs, and sofas), eating (tables), storing items, eating and/or working with an item, and sleeping (e.g., beds and hammocks).","['https://upload.wikimedia.org/wikipedia/commons/d/d3/2%E4%BB%A3%E7%94%B1%E6%9C%A8%E5%B0%BE%E9%9B%AA%E9%9B%84%E4%BD%9C-Writing_Box_%28Suzuribako%29_and_Writing_Table_%28Bundai%29_with_Pines_at_Takasago_and_Sumiyoshi_MET_DP330034.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/8th_Century_BCE_Assyrian_Plaque_from_Fort_Shalmaneser._in_Nimrud.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/90/Analogion_Inv._No._11162.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Analogion_MNaR_11162_%281%29.jpg']"
Argentina,"Argentina (Spanish pronunciation: [aɾxenˈtina] (listen)), officially the Argentine Republic (Spanish: República Argentina),  is a country in the southern half of South America.","['https://upload.wikimedia.org/wikipedia/commons/5/53/25_de_mayo_por_F._Fortuny.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/A-4AR_Fightinghawk_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/ARG_orthographic_%28%2Ball_claims%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Aconcagua2016.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Andr%C3%A9s_Muschietti.jpg']"
Gastrointestinal tract,"The gastrointestinal tract (GI tract, digestive tract, alimentary canal) is the tract or passageway of the digestive system that leads from the mouth to the anus.","['https://upload.wikimedia.org/wikipedia/commons/7/77/Blausen_0817_SmallIntestine_Anatomy.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/Digestive_system_diagram_edit.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Layers_of_the_GI_Tract_numbers.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Celsius,"The degree Celsius is the unit of temperature on the Celsius scale (originally known as the centigrade scale outside Sweden), one of two temperature scales used in the International System of Units (SI), the other being the Kelvin scale.","['https://upload.wikimedia.org/wikipedia/commons/a/ad/Celsius_original_thermometer.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Countries_that_use_Fahrenheit.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Crystal_energy.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png']"
Mathematical analysis,"Analysis is the branch of mathematics dealing with continuous functions, limits, and related theories, such as differentiation, integration, measure, infinite sequences, series, and analytic functions.These theories are usually studied in the context of real and complex numbers and functions.","['https://upload.wikimedia.org/wikipedia/commons/c/c9/Archimedes_pi.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Attracteur_%C3%A9trange_de_Lorenz.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Less force,Not found on Wikipedia,['Image not found']
French wine,"French wine is produced all throughout France, in quantities between 50 and 60 million hectolitres per year, or 7–8 billion bottles.","['https://upload.wikimedia.org/wikipedia/commons/6/64/A_bottle_and_glass_of_wine.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/A_vineyard_worker_manually_tills_the_soil_near_Vosne-Roman%C3%A9e_in_Burgundy_%287309839432%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Cahors_Chateau.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Chateau_Pichon-Longueville_Baron_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Filtration,Filtration is a physical separation process that separates solid matter and fluid from a mixture using a filter medium that has a complex structure through which only the fluid can pass.,"['https://upload.wikimedia.org/wikipedia/commons/f/f9/ChemSepProcDiagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Cold_Filtration.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/DNA_replication_split.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/FilterDiagram.svg']"
Chili,Chili or chilli may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis.","['https://upload.wikimedia.org/wikipedia/commons/c/c7/%28Ziziphus_jujuba%29_Foliage_at_Ammuguda_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/3D_rendering_of_a_micro_CT_scan_of_a_piece_of_dried_leaf..ogv', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Acer_Truncatum_leaf.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Adiantum_cunninghamii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Berberis_gagnepainii_thorn.jpg']"
Fly,"Flies are insects of the order Diptera, the name being derived from the Greek δι- di- ""two"", and πτερόν pteron ""wing"".","['https://upload.wikimedia.org/wikipedia/commons/e/e5/Acrocera_globulus.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Anopheles_stephensi.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Anthomyiidae_%28female%29_%2810144905255%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Anthomyiidae_sp._1_%28aka%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Asilidae_icon.jpg']"
Green,Green is the color between cyan and yellow on the visible spectrum.,"['https://upload.wikimedia.org/wikipedia/commons/d/d9/1929_Birkin_Blower_Bentley_%28Ralph_Lauren%27s%29_at_Lime_Rock_2014.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Australia_green_tree_frog_%28Litoria_caerulea%29_crop.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/AustralianGreensLogo_official.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Baccara_Palette.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/Billiard_table1.JPG']"
Hardness,"In materials science, hardness (antonym: softness) is a measure of the resistance to localized plastic deformation induced by either mechanical indentation or abrasion.","['https://upload.wikimedia.org/wikipedia/commons/8/8e/Close-packed_spheres.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Dislocation_edge_d2.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Stress-strain1.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Vickers-tester.jpg']"
Pietro Priyonti,Not found on Wikipedia,['Image not found']
Colony,A colony is a territory subject to a form of foreign rule.,"['https://upload.wikimedia.org/wikipedia/commons/0/01/A_coloured_voting_box.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/British_Raj_Red_Ensign.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Dependent_territories.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg']"
Distance travelled per second,Not found on Wikipedia,['Image not found']
Smoothness,"In mathematical analysis, the smoothness of a function is a property measured by the number of continuous derivatives it has over some domain, called differentiability class.","['https://upload.wikimedia.org/wikipedia/commons/2/24/Bump2D_illustration.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/C0_function.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Curves_g1_contact.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Kegelschnitt-Schar.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Mollifier_Illustration.svg']"
 fulcrum,A fulcrum is the support about which a lever pivots.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Glass sheet,Not found on Wikipedia,['Image not found']
Prom,"A promenade dance, commonly called a prom in American English, is a dance party for high school students.","['https://upload.wikimedia.org/wikipedia/commons/8/80/Christina_Ragan_and_Tom_Sanderson.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Couple_of_students_in_Paris.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/DecorateForProm2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Girl.in.Prom.Dress.1950s.jpg']"
Blink,Not found on Wikipedia,['Image not found']
Electrical engineering,"Electrical engineering is an engineering discipline concerned with the study, design, and application of equipment, devices, and systems which use electricity, electronics, and electromagnetism.","['https://upload.wikimedia.org/wikipedia/commons/0/0c/3_Park_Avenue.JPG', 'https://upload.wikimedia.org/wikipedia/commons/0/02/80486dx2-large.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Bayer_pattern_on_sensor.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Belgium._Belgian_electrical_engineers_Georges_Jean_L._Van_Antro%2C_left%2C_Georges_H._Marchal%2C_center%2C_and_Jacques_de..._-_NARA_-_541661.tif', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
SIMPLE MACHINES,Not found on Wikipedia,['Image not found']
Microwave,Microwave is a form of electromagnetic radiation with wavelengths ranging from about one meter to one millimeter corresponding to frequencies between 300 MHz and 300 GHz respectively.,"['https://upload.wikimedia.org/wikipedia/commons/e/eb/AI_Mk._VIIIA_radar_in_Bristol_Beaufighter_VIF_CH16665.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/ASR-9_Radar_Antenna.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Antennenw1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Atmospheric_Microwave_Transmittance_at_Mauna_Kea_%28simulated%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/BigBangNoise.jpg']"
Partial atmosphere,Not found on Wikipedia,['Image not found']
Hunger,"In politics, humanitarian aid, and the social sciences, hunger is defined as a condition in which a person does not have the physical or financial capability to eat sufficient food to meet basic nutritional needs for a sustained period.","['https://upload.wikimedia.org/wikipedia/commons/1/15/Civil_Rights_March_on_Washington%2C_D.C._%28Dr._Martin_Luther_King%2C_Jr._and_Mathew_Ahmann_in_a_crowd.%29_-_NARA_-_542015_-_Restoration.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Food_Assistance_Convention.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg']"
Periodic motion,•Uniform Circular Motion,['Image not found']
Generation,"A generation refers to all of the people born and living at about the same time, regarded collectively.","['https://upload.wikimedia.org/wikipedia/commons/e/e8/%22Gera%C3%A7%C3%A3o_%C3%A0_Rasca%22_Banner.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Baby_Mother_Grandmother_and_Great_Grandmother.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Generation_timeline.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Lynch_Armenia_Five_generations.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Quazi Afroz Jahan ara,Not found on Wikipedia,['Image not found']
Creek,"A creek in North America and elsewhere, such as Australia, is a stream that is usually smaller than a river.","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Waitawhiriwhiri_Stream.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Simple machine,A simple machine is a mechanical device that changes the direction or magnitude of a force.,"['https://upload.wikimedia.org/wikipedia/commons/e/e9/BOLT_SCREW_UBT_199.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Kinematics_of_Machinery_-_Figure_21.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Six_Mechanical_Powers.png']"
Drainage,Drainage is the natural or artificial removal of a surface's water and sub-surface water from an area with excess  of water.,"['https://upload.wikimedia.org/wikipedia/commons/f/f0/A_drain_at_Lothal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Drainbankstown.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/FlexibleRainPipe.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Hdpe_pipe_installation.jpg']"
Psychic,"A psychic is a person who claims to use extrasensory perception (ESP) to identify information hidden from the normal senses, particularly involving telepathy or clairvoyance, or who performs acts that are apparently inexplicable by natural laws, such as psychokinesis or teleportation.","['https://upload.wikimedia.org/wikipedia/commons/8/8d/Cayce_1910.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Ganzfeld.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/PsychicBoston.jpg']"
Multiple choice question,Not found on Wikipedia,['Image not found']
Solar System,The Solar System is the gravitationally bound system of the Sun and the objects that orbit it.,"['https://upload.wikimedia.org/wikipedia/commons/1/1f/AS17-134-20473.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Comet_Hale-Bopp_1995O1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg']"
Margulies and Whitaker,Not found on Wikipedia,['Image not found']
Middle back,Not found on Wikipedia,['Image not found']
In motion,Not found on Wikipedia,['Image not found']
Vertical plane,Not found on Wikipedia,['Image not found']
Volcano,"A volcano is a rupture in the crust of a planetary-mass object, such as Earth, that allows hot lava, volcanic ash, and gases to escape from a magma chamber below the surface.","['https://upload.wikimedia.org/wikipedia/commons/e/e0/Aerial_image_of_Stromboli_%28view_from_the_northeast%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Capulin_1980_tde00005.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Erupci%C3%B3n_en_el_volc%C3%A1n_Sabancaya%2C_Per%C3%BA.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Izalco_Volcano.jpg']"
Decision analysis,"Decision analysis (DA) is the discipline comprising the philosophy, methodology, and professional practice necessary to address important decisions in a formal manner.",['Image not found']
Invertebrate,"Invertebrates are a paraphyletic group of animals that neither possess nor develop a vertebral column (commonly known as a backbone or spine), derived from the notochord.","['https://upload.wikimedia.org/wikipedia/commons/0/09/Argopecten_irradians.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Carcinoscorpius_rotundicauda_%28mangrove_horseshoe_crab%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/72/Cladocora.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Cockroach_tracheae_supplying_crop.tiff', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Coral_Outcrop_Flynn_Reef.jpg']"
Mathin's Father,Not found on Wikipedia,['Image not found']
Baker's Arrow,Not found on Wikipedia,['Image not found']
Health science,Not found on Wikipedia,['Image not found']
LEVER Lever,Not found on Wikipedia,['Image not found']
Preventive security,Not found on Wikipedia,['Image not found']
Probable decision,Not found on Wikipedia,['Image not found']
Time interval,Not found on Wikipedia,['Image not found']
Bacteria,"Bacteria ( (listen); singular: bacterium) are ubiquitous,  mostly free-living organisms often consisting of one biological cell.","['https://upload.wikimedia.org/wikipedia/commons/c/ca/Anillo_de_la_vida.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Bacillus_subtilis_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Bacterial_infections_and_involved_species.png', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Bacterial_morphology_diagram.svg']"
Non-crystalline salt,Not found on Wikipedia,['Image not found']
Din::ction,Not found on Wikipedia,['Image not found']
Fig. 1,Not found on Wikipedia,['Image not found']
Antibiotic,An antibiotic is a type of antimicrobial substance active against bacteria.,"['https://upload.wikimedia.org/wikipedia/commons/a/a3/Acremonium_falciforme_PHIL_4167_lores.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Agelas_tubulata_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Antibiotics_action.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/CDC_Get_Smart_poster_healthy_adult.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Choosing_Wisely_antibiotics_poster_small_English.pdf']"
Frog,"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura (ανοὐρά, literally without tail in Ancient Greek).","['https://upload.wikimedia.org/wikipedia/commons/e/e4/2012_Froschschenkel_anagoria.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/45/AlytesObstetricansMaleWithEggs.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Anoures.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Assa_darlingtoni.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Atelopus_franciscus_male_territorial_call_-_pone.0022080.s002.oga']"
Solar radiation,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']
Central body,Not found on Wikipedia,['Image not found']
Reflecting glass,Not found on Wikipedia,['Image not found']
Straight path,Not found on Wikipedia,['Image not found']
Drywall,"Drywall (also called plasterboard, dry lining, wallboard, sheet rock, gypsum board, buster board, turtles board, slap board, custard board, and gypsum panel) is a panel made of calcium sulfate dihydrate (gypsum), with or without additives, typically extruded between thick sheets of facer and backer paper, used in the construction of interior walls and ceilings.","['https://upload.wikimedia.org/wikipedia/commons/c/c8/Drywall-screws-v1_%281%29.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Drywall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Drywall_and_tools.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/56/Drywall_splotch.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/FEMA_-_24623_-_Photograph_by_Michelle_Miller-Freeck_taken_on_05-23-2006_in_Mississippi.jpg']"
Natural number,"In mathematics, the natural numbers are the numbers 1, 2, 3, etc., possibly including 0 as well.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Os_d%27Ishango_IRSNB.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Symbol_list_class.svg']"
Argument,An argument is a statement or group of statements called premises intended to determine the degree of truth or acceptability of another statement called a conclusion.,"['https://upload.wikimedia.org/wikipedia/commons/a/a4/Argument_terminology_used_in_logic_%28en%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png']"
Fig 4,Not found on Wikipedia,['Image not found']
P,"P, or p, is the sixteenth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide.","['https://upload.wikimedia.org/wikipedia/commons/d/d2/BSL_letter_P.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Braille_P.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Capitalis_monumentalis_P.SVG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/06/Early_Aramaic_character_-_pey.png']"
Autophyte,Not found on Wikipedia,['Image not found']
Coolness,Not found on Wikipedia,['Image not found']
