entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Mixture,chemical substance,Chemical substance,group or class of chemical substances,subclass of,"3, A mixture shows the properties of the 3.
"
Substance,chemical substance,Chemical substance,group or class of chemical substances,subclass of,"The new substance has totally different constituent substances.
"
Real estate,geographical object,Real estate,geographical object,part of,"properties.
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Physical separation,separation,Separation,separation,subclass of,"The constituents can be separated only fairly easily by physical methods.
"
Electrochemical reaction,chemical reaction,Chemical reaction,chemical process,subclass of,"by chemical or electrochemical reactions.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"What you have learnt • A mixture contains more than one substance (element and/ or compound) mixed in any proportion.
"
SCIENCE 22 Exercises,exercise,Rationalised 2023–24 Exercises,exercise,part of,"Rationalised 2023-24  SCIENCE 22 Exercises 1.
"
Separation process,method,Separation process,method,subclass of,"Which separation techniques will you apply for the separation of the following?
"
Oil,product,Car,motor vehicle,part of,"(a) Sodium chloride from its solution in water (b) Ammonium chloride from a mixture containing sodium chloride and ammonium chloride (c) Small pieces of metal in the engine oil of a car (d) Different pigments from an extract of flower petals (e) Butter from curd (f) Oil from water (g) Tea leaves from tea (h) Iron pins from sand (i) Wheat grains from husk (j) Fine mud particles suspended in water • Mixtures can be separated into pure substances using appropriate separation techniques.
"
Mixture,chemical substance,Chemical substance,group or class of chemical substances,subclass of,"• A solution is a homogeneous mixture of two or more substances.
"
Solvent,chemical substance,Solution,homogeneous mixture,subclass of,"The major component of a solution is called the solvent, and the minor, the solute.
"
Volume,physical quantity,Mass,physical quantity,calculated from,"• The concentration of a solution is the amount of solute present per unit volume or per unit mass of the solution.
"
Solvent,chemical substance,Solvent,chemical substance,subclass of,"• Materials that are insoluble in a solvent and have particles that are visible to naked eyes, form a suspension.
"
Mixture,chemical substance,Heterogeneous mixture,None,subclass of,"A suspension is a heterogeneous mixture.
"
Colloid,mixture,Mixture,chemical substance,subclass of,"• Colloids are heterogeneous mixtures in which the particle size is too small to be seen with the naked eye, but is big enough to scatter light.
"
Colloid,dispersion,Colloid,dispersion,use,"Colloids are useful in industry and daily life.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"• Pure substances can be elements or compounds.
"
Chemical substance,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"An element is a form of matter that cannot be broken down by chemical reactions into simpler substances.
"
Chemical element,second-order class,Chemical compound,group or class of chemical substances,part of,"A compound is a substance composed of two or more different types of elements, chemically combined in a fixed proportion.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"• Properties of a compound are different from its constituent elements, whereas a mixture shows the properties of its constituting elements or compounds.
"
Rationalised 2023-24,literary work,Matters Around Us Pure?,literary work,main subject,"Rationalised 2023-24  IS MATTER AROUND US PURE?
"
Saturated solution,solution,Solution,homogeneous mixture,subclass of,"23 (a) What mass of potassium nitrate would be needed to produce a saturated solution of potassium nitrate in 50 grams of water at 313 K?
"
Saturated solution,solution,Solution,homogeneous mixture,subclass of,"(b) Pragya makes a saturated solution of potassium chloride in water at 353 K and leaves the solution to cool at room temperature.
"
Thermal process,process,Solution,homogeneous mixture,subclass of,"What would she observe as the solution cools?
"
Explain language,constructed language,English language,language,influenced by,"Explain.
"
Solubility,physical quantity,Salt,mixture,facet of,"Which salt has the highest solubility at this temperature?
"
Salt,mixture,Solubility,property,has quality,"(d) What is the effect of change of temperature on the solubility of a salt?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Explain the following,None,Examples of|( examples,Examples of an item,instance of,"Explain the following giving examples.
"
Colloid,None,Pure substance,None,subclass of,"(a) Saturated solution (b) Pure substance (c) Colloid (d) Suspension 5.
"
Heterogeneous mixture,mixture,Homogeneous mixture,mixture,subclass of,"Classify each of the following as a homogeneous or heterogeneous mixture.
"
Vinegar,condiment,Tea,tea,use,"soda water, wood, air, soil, vinegar,  filtered tea.
"
5.6,"version, edition, or translation",5.7,"version, edition, or translation",followed by,"6.
"
Water,None,Liquid,fluid,subclass of,"How would you confirm that a colourless liquid given to you is pure water?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Tea,tea,Writing,communication,fabrication method,"Write the steps you would use for making tea.
"
Solvent,chemical substance,Solution,homogeneous mixture,subclass of,"Use the words solution, solvent, solute, dissolve, soluble, insoluble, filtrate and residue.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Saturated solution,solution,Solution,homogeneous mixture,subclass of,"Pragya tested the solubility of three different substances at different temperatures and collected the data as given below (results are given in the following table, as grams of substance dissolved in 100 grams of water to form a saturated solution).
"
Sodium chloride,None,Substance,chemical substance,instance of,"Substance Dissolved 283        Temperature in K 293 313 333 353 Solubility Potassium nitrate 21 32 62 106 167 Sodium chloride 36 36 36 37 37 Potassium chloride 35 35 40 46 54 Ammonium chloride 24 37 41 55 66 Rationalised 2023-24  SCIENCE 24 7.
"
Pure substance,material,Material,product,subclass of,"Which of the following materials fall in the category of a “pure substance”?
"
Ice,nan,Ice,nan,subclass of,"(a) Ice (b) Milk (c) Iron (d) Hydrochloric acid (e) Calcium oxide (f) Mercury (g) Brick (h) Wood (i) Air 8.
"
Solution,homogeneous mixture,Mixture,chemical substance,subclass of,"Identify the solutions among the following mixtures.
"
Coal,sedimentary rock,Soil,granular material,part of,"(a) Soil (b) Sea water (c) Air (d) Coal (e) Soda water 9.
"
Tyndall effect,phenomenon,Tyndall effect,phenomenon,instance of,"Which of the following will show “Tyndall effect”?
"
Salt,mixture,Solution,homogeneous mixture,instance of,"(a) Salt solution (b) Milk (c) Copper sulphate solution (d) Starch solution 10.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"Classify the following into elements, compounds and mixtures.
"
Carbon dioxide,None,Carbon,chemical element,has parts of the class,"(a) Sodium (b) Soil (c) Sugar solution (d) Silver (e) Calcium carbonate (f) Tin (g) Silicon (h) Coal (i) Air (j) Soap (k) Methane (l) Carbon dioxide (m) Blood 11.
"
Chemical change,process,Chemical substance,group or class of chemical substances,has cause,"Which of the following are chemical changes?
"
Rusting,leather,Iron,medication,made from material,"(a) Growth of a plant (b) Rusting of iron Rationalised 2023-24  IS MATTER AROUND US PURE?
"
Digestion,biological process,Cooking,food preparation,subclass of,"25 (c) Mixing of iron filings and sand (d) Cooking of food (e) Digestion of food (f) Freezing of water (g) Burning of a candle Group Activity Take an earthen pot (mutka), some pebbles and sand.
"
Water filtration,separation process,Water purification,cleaning,use,"Design a small-scale filtration plant that you could use to clean muddy water.
"
Unseen matter,concept,Philosophy,academic discipline,studied by,"Rationalised 2023-24  Ancient Indian and Greek philosophers have always wondered about the unknown and unseen form of matter.
"
Divisibility,philosophical concept,Matter,material substance,facet of,"The idea of divisibility of matter was considered long back in India, around 500 BC.
"
Maharishi Kanad,human,Philosopher,profession,occupation,"An Indian philosopher Maharishi Kanad, postulated that if we go on dividing matter (padarth), we shall get smaller and smaller particles.
"
Microscopic particle,particle,Particle,physical object,subclass of,"Ultimately, a stage will come when we shall come across the smallest particles beyond which further division will not be possible.
"
Parmanu,particle,Particle,physical object,instance of,"He named these particles Parmanu.
"
Pakudha Katyayama,human,Pakudha Katyayama,human,influenced by,"Another Indian philosopher, Pakudha Katyayama, elaborated this doctrine and said that these particles normally exist in a combined form which gives us various forms of matter.
"
Democritus,human,Ancient Greece,former administrative territorial entity,time period,"Around the same era, ancient Greek philosophers – Democritus and Leucippus suggested that if we go on dividing matter, a stage will come when particles obtained cannot be divided further.
"
Atom,composite particle,Indivisible particle,quantum particle,manifestation of,"Democritus called these indivisible particles atoms (meaning indivisible).
"
Experimental philosophy,philosophy,Philosophy,academic discipline,subclass of,"All this was based on philosophical considerations and not much experimental work to validate these ideas could be done till the eighteenth century.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"By the end of the eighteenth century, scientists recognised the difference between elements and compounds and naturally became interested in finding out how and why elements combine and what happens when they combine.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"Antoine L.
"
Chemical reaction,chemical process,Chemistry,academic discipline,studied by,"Lavoisier laid the foundation of chemical sciences by establishing two important laws of chemical combination.
"
Lavoisier's laws of Chemical Combination,None,Pierre André Lavoisier,human,named after,"3.1 Laws of Chemical Combination The following two laws of chemical combination were established after much experimentations by Lavoisier and Joseph L.
"
Marcel Proust,human,Proustianism,literary movement,movement,"Proust.
"
Chemical reaction,chemical process,Chemical change,process,has effect,"3.1.1 LAW OF CONSERVATION OF MASS Is there a change in mass when a chemical change (chemical reaction) takes place?
"
Barium chloride,None,Chemical substance,group or class of chemical substances,instance of,"Activity ______________ 3.1 • Take one of the following sets, X and Y of chemicals— X Y (i) copper sulphate sodium carbonate (ii) barium chloride sodium sulphate (iii) lead nitrate sodium chloride • Prepare separately a 5% solution of any one pair of substances listed under X and Y each in 10 mL in water.
"
Ignition tube,None,Drinking vessel,container,part of,"• Take a little amount of solution of Y in a conical flask and some solution of X in an ignition tube.
"
Ignition tube,None,Drinking vessel,container,part of,"• Hang the ignition tube in the flask carefully; see that the solutions do not get mixed.
"
Mixing solution,solution,Solution,homogeneous mixture,subclass of,"• Now tilt and swirl the flask, so that the solutions X and Y get mixed.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"• Weigh again.
"
Reaction flask,laboratory equipment,Chemical reaction,chemical process,use,"• What happens in the reaction flask?
"
Chemical reaction,chemical process,Chemical process,process,subclass of,"• Do you think that a chemical reaction has taken place?
"
Mass,physical quantity,Mass–content ratio,physical quantity,has effect,"• Does the mass of the flask and its contents change?
"
Law of conservation of mass,physical law,Mass,physical quantity,facet of,"Law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"3.1.2 LAW OF CONSTANT PROPORTIONS Lavoisier, along with other scientists, noted that many compounds were composed of two or more elements and each such compound had the same elements in the same proportions, irrespective of where the compound came from or who prepared it.
"
Water,None,Chemical compound,group or class of chemical substances,subclass of,"In a compound such as water, the ratio of the mass of hydrogen to the mass of oxygen is always 1:8, whatever the source of water.
"
Water,None,Hydrogen,chemical element,part of,"Thus, if 9 g of water is decomposed, 1 g of hydrogen and 8 g of oxygen are always obtained.
"
Ammonia,None,Nitrogen,chemical element,has parts of the class,"Similarly in ammonia, nitrogen and hydrogen are always present in the ratio 14:3 by mass, whatever the method or the source from which it is obtained.
"
Law of definite proportions,rule of proportions,Rule of proportions,format,instance of,"This led to the law of constant proportions which is also known as the law of definite proportions.
"
Chemical element,second-order class,Chemical substance,group or class of chemical substances,part of,"This law was stated by Proust as “In a chemical substance the elements are always present in definite proportions by mass”.
"
Science,academic discipline,Scientist,profession,practiced by,"The next problem faced by scientists was to give appropriate explanations of these laws.
"
John Dalton,human,Chemist,profession,occupation,"British chemist John Dalton provided the basic theory about the nature of matter.
"
Divisibility of matter,philosophical concept,Philosophy,academic discipline,part of,"Dalton picked up the idea of divisibility of matter, which was till then just a philosophy.
"
Atom,composite particle,Matter,material substance,studied by,"He took the name ‘atoms’ as given by the Greeks and said that the smallest particles of matter are atoms.
"
Chemical law of combination,physical law,Chemistry,academic discipline,part of,"His theory was based on the laws of chemical combination.
"
Law of definite proportions,physical law,Atomic theory,theory,part of,"Dalton’s atomic theory provided an explanation for the law of conservation of mass and the law of definite proportions.
"
John Dalton,human,England,devolved nation within the UK,place of birth,"John Dalton was born in a poor weaver’s family in 1766 in England.
"
Teacher,position,Teaching,activity,field of this occupation,"He began his career as a teacher at the age of twelve.
"
University of Manchester,university,Manchester,city,headquarters location,"In 1793, Dalton left for Manchester to teach mathematics, physics and chemistry in a college.
"
Netherlands,country,Brussels,city with millions of inhabitants,contains administrative territorial entity,"He spent most of his life there teaching and researching.
"
Atomic physics,branch of physics,Mass,physical quantity,studies,"In 1808, he presented his atomic theory which was a turning point in the study of matter.
"
Chemical element,second-order class,Atom,composite particle,part of,"According to Dalton’s atomic theory, all matter, whether an element, a compound or a mixture is composed of small particles called atoms.
"
Atom,composite particle,Matter,material substance,part of,"The postulates of this theory may be stated as follows: (i) All matter is made of very tiny particles called atoms, which participate in chemical reactions.
"
Atom,composite particle,Chemical property,material property,has quality,"(iii) Atoms of a given element are identical in mass and chemical properties.
"
Atom,composite particle,Chemical element,second-order class,has parts of the class,"(iv) Atoms of different elements have different masses and chemical properties.
"
Chemical compound,group or class of chemical substances,Atom,composite particle,has parts of the class,"(v) Atoms combine in the ratio of small whole numbers to form compounds.
"
Chemical compound,group or class of chemical substances,Atom,composite particle,has parts of the class,"(vi) The relative number and kinds of atoms are constant in a given compound.
"
Atom,composite particle,Chemical particle,particle,subclass of,"You will study in the next chapter that all atoms are made up of still smaller particles.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Acetic acid,None,Chemical reaction,chemical process,instance of,"In a reaction, 5.3 g of sodium carbonate reacted with 6 g of acetic acid.
"
Carbon dioxide,None,Water,None,has parts of the class,"The products were 2.2 g of carbon dioxide, 0.9 g water and 8.2 g of sodium acetate.
"
Atom,composite particle,Atom,composite particle,part of,"This is because our entire world is made up of atoms.
"
Earth,inner planet,Sun,G-type main-sequence star,parent astronomical body,"We may not be able to see them, but they are there, and constantly affecting whatever we do.
"
Chemical element,second-order class,Atom,composite particle,part of,"Through modern techniques, we can now produce magnified images of surfaces of elements showing atoms.
"
Conservation of mass,physical law,Physical law,law,instance of,"observations are in agreement with the law of conservation of mass.
"
Sodium acetate,None,Sodium carbonate,None,monomer of,"sodium carbonate + acetic acid → sodium acetate + carbon dioxide + water 2.
"
Hydrogen,chemical element,Water,None,part of,"Hydrogen and oxygen combine in the ratio of 1:8 by mass to form water.
"
Mass,physical quantity,Mass,physical quantity,calculated from,"What mass of oxygen gas would be required to react completely with 3 g of hydrogen gas?
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Conservation of mass,physical law,Atomic theory,physical theory,part of,"Which postulate of Dalton’s atomic theory is the result of the law of conservation of mass?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Law of definite proportions,physical law,Dalton's atomic theory,physical law,part of,"Which postulate of Dalton’s atomic theory can explain the law of definite proportions?
"
3.2 What is an Atom,None,Atom,composite particle,facet of,"3.2 What is an Atom?
"
Wall,building material,Masonite,alloy,made from material,"Have you ever observed a mason building walls, from these walls a room and then a collection of rooms to form a building?
"
Building block,architectural element,Building,architectural structure,part of,"What is the building block of the huge building?
"
Anthill,hill,Hill,landform,subclass of,"What about the building block of an ant-hill?
"
Sand,natural building material,Grain,chemical substance,instance of,"It is a small grain of sand.
"
Atom,composite particle,Matter,material substance,part of,"Similarly, the building blocks of all matter are atoms.
"
Atoms,composite particle,Atom,composite particle,studied by,"How big are atoms?
"
Atom,composite particle,Small Atom,atom,subclass of,"Atoms are very small, they are smaller than anything that we can imagine or compare with.
"
Paper,intermediate product,Atom,composite particle,made from material,"More than millions of atoms when stacked would make a layer barely as thick as this sheet of paper.
"
Minutre,UCUM derived unit,Atomic radius,physical quantity,measured physical quantity,"Atomic radius is measured in nanometres.
"
Metre,unit of length,Radius,physical quantity,measured physical quantity,"1/10 9 m = 1 nm 1 m = 109 nm Relative Sizes Radii (in m) Example 10–10 Atom of hydrogen 10–9 Molecule of water 10–8 Molecule of haemoglobin 10–4 Grain of sand 10–3 Ant 10–1 Apple Fig. 3.2: An image of the surface of silicon 3.2.1 WHAT ARE THE MODERN DAY SYMBOLS OF ATOMS OF DIFFERENT ELEMENTS?
"
Chemical element,second-order class,Chemical symbol,symbol,part of,"Dalton was the first scientist to use the symbols for elements in a very specific sense.
"
Atom,composite particle,Chemical element,second-order class,part of,"When he used a symbol for an element he also meant a definite quantity of that element, that is, one atom of that element.
"
Dalton Rationalised,"version, edition, or translation",MOLECULES 29,"version, edition, or translation",followed by,"Fig. 3.3: Symbols for some elements as proposed by Dalton Rationalised 2023-24  ATOMS AND MOLECULES 29 In the beginning, the names of elements were derived from the name of the place where they were found for the first time.
"
Copper,medication,Cyprus,sovereign state,named after,"For example, the name copper was taken from Cyprus.
"
Color,quality,Color,quality,part of,"Some names were taken from specific colours.
"
Gold,chemical element,Yellow,color,named after,"For example, gold was taken from the English word meaning yellow.
"
International Union of Pure and Applied Chemistry,organization,Learned society,voluntary association,instance of,"Now-a-days, IUPAC (International Union of Pure and Applied Chemistry) is an international scientific organisation which approves names of elements, symbols and units.
"
Name,name,English language,language,language of work or name,"Many of the symbols are the first one or two letters of the element’s name in English.
"
Capital letter,IPA symbol,Small and medium letters,IPA symbol,opposite of,"The first letter of a symbol is always written as a capital letter (uppercase) and the second letter as a small letter (lowercase).
"
Aluminium,medication,Hydrogen,chemical element,made from material,"For example (i) hydrogen, H (ii) aluminium, Al and not AL (iii) cobalt, Co and not CO.
"
Zinc,material,Chlorine,chemical element,made from material,"Examples are: (i) chlorine, Cl, (ii) zinc, Zn etc.
"
Latin,language,Grammatical case,form,has grammatical case,"Other symbols have been taken from the names of elements in Latin, German or Greek.
"
Ferrum,None,Iron,medication,named after,"For example, the symbol of iron is Fe from its Latin name ferrum, sodium is Na from natrium, potassium is K from kalium.
"
Chemical symbol,symbol,Chemical element,second-order class,depicts,"Therefore, each element has a name and a unique chemical symbol.
"
Kerala,state of India,Bangalore,city,capital,"Do not bother to memorise all in one go.
"
Time,series,Time,series,part of,"With the passage of time and repeated usage you will automatically be able to reproduce the symbols).
"
Dalton's atomic theory,physical law,Atomic mass,physical quantity,instance of,"3.2.2 ATOMIC MASS The most remarkable concept that Dalton’s atomic theory proposed was that of the atomic mass.
"
Characteristic atomic mass,physical quantity,Chemical element,second-order class,facet of,"According to him, each element had a characteristic atomic mass.
"
Atomic mass,unit of mass,Mass,physical quantity,measured physical quantity,"The theory could explain the law of constant proportions so well that scientists were prompted to measure the atomic mass of an atom.
"
Chemical compound,group or class of chemical substances,Atom,composite particle,has parts of the class,"Since determining the mass of an individual atom was a relatively difficult task, relative atomic masses were determined using the laws of chemical combinations and the compounds formed.
"
Carbon monoxide,None,Carbon,chemical element,has parts of the class,"Let us take the example of a compound, carbon monoxide (CO) formed by carbon and oxygen.
"
Carbon monoxide,None,Carbon,chemical element,has parts of the class,"It was observed experimentally that 3 g of carbon combines with 4 g of oxygen to form CO.
"
Carbon,chemical element,Oxygen,chemical element,has parts of the class,"In other words, carbon combines with 4/3 times its mass of oxygen.
"
Carbon,chemical element,Atom,composite particle,has parts of the class,"Suppose we define the atomic mass unit (earlier abbreviated as ‘amu’, but according to the latest IUPAC recommendations, it is now written as ‘u’ – unified mass) as equal to the mass of one carbon atom, then we would assign carbon an atomic mass of 1.0 u and oxygen an atomic mass of 1.33 u.
"
Aluminium,medication,Aluminium,medication,subclass of,"However, it is more convenient to have these numbers as Table 3.1: Symbols for some elements Element Symbol Element Symbol Element Symbol Aluminium Al Copper Cu Nitrogen N Argon Ar Fluorine F Oxygen O Barium Ba Gold Au Potassium K Boron B Hydrogen H Silicon Si Bromine Br Iodine I Silver Ag Calcium Ca Iron Fe Sodium Na Carbon C Lead Pb Sulphur S Chlorine Cl Magnesium Mg Uranium U Cobalt Co Neon Ne Zinc Zn Rationalised 2023-24  SCIENCE 30 whole numbers or as near to a whole numbers as possible.
"
Atomic mass unit,unit of mass,Mass,physical quantity,measured physical quantity,"While searching for various atomic mass units, scientists initially took 1/ 16 of the mass of an atom of naturally occurring oxygen as the unit.
"
Oxygen,chemical element,Chemical element,second-order class,instance of,"This was •considered relevant due to two reasons: oxygen reacted with a large number of elements and formed compounds.
"
Atomic mass unit,unit of mass,Mass,physical quantity,measured physical quantity,"• this atomic mass unit gave masses of most of the elements as whole numbers.
"
Carbon-12,boson,Isotopes of carbon,isotope,instance of,"However, in 1961 for a universally accepted atomic mass unit, carbon-12 isotope was chosen as the standard reference for measuring atomic masses.
"
Atomic mass unit,unit of mass,Mass,physical quantity,measured physical quantity,"One atomic mass unit is a mass unit equal to exactly one-twelfth (1/12th) the mass of one atom of carbon-12.
"
Carbon,chemical element,Chemical element,second-order class,instance of,"The relative atomic masses of all elements have been found with respect to an atom of carbon-12.
"
Fruit selling,None,Fruit,plant organ,facet of,"Imagine a fruit seller selling fruits without any standard weight with him.
"
Fruit mass unit,unit of mass,Mass,physical quantity,measured physical quantity,"He takes a watermelon and says, “this has a mass equal to 12 units” (12 watermelon units or 12 fruit mass units).
"
Mass,physical quantity,Mass,physical quantity,calculated from,"He makes twelve equal pieces of the watermelon and finds the mass of each fruit he is selling, relative to the mass of one piece of the watermelon.
"
Relative fruit mass unit,unit of measurement,Fruit mass,physical quantity,measured physical quantity,"Now he sells his fruits by relative fruit mass unit (fmu), as in Fig. 3.4.
"
Atomic mass,unit of mass,Mass,physical quantity,measured physical quantity,"Fig. 3.4 : (a) Watermelon, (b) 12 pieces, (c) 1/12 of watermelon, (d) how the fruit seller can weigh the fruits using pieces of watermelon Similarly, the relative atomic mass of the atom of an element is defined as the average mass of the atom, as compared to 1/12th the mass of one carbon-12 atom.
"
Magnesium,chemical element,Chemical element,second-order class,instance of,"Table 3.2: Atomic masses of a few elements Element Atomic Mass (u) Hydrogen 1 Carbon 12 Nitrogen 14 Oxygen 16 Sodium 23 Magnesium 24 Sulphur 32 Chlorine 35.5 Calcium 40 3.2.3 HOW DO ATOMS EXIST?
"
Atom,composite particle,Chemical element,second-order class,has parts of the class,"Atoms of most elements are not able to exist independently.
"
Ion,molecular entity,Molecule,molecular entity,subclass of,"Atoms form molecules and ions.
"
Ion,molecular entity,Molecule,molecular entity,subclass of,"These molecules or ions aggregate in large numbers to form the matter that we can see, feel or touch.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Atomic mass,unit of mass,Mass,physical quantity,measured physical quantity,"Define the atomic mass unit.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Atom,composite particle,Atom theory,branch of physics,studied by,"Why is it not possible to see an atom with naked eyes?
"
Molecule,molecular entity,Chemistry,academic discipline,studied by,"3.3 What is a Molecule?
"
Atom,composite particle,Molecule,molecular entity,part of,"A molecule is in general a group of two or more atoms that are chemically bonded together, that is, tightly held together by attractive forces.
"
Chemical element,second-order class,Chemical compound,group or class of chemical substances,part of,"A molecule can be defined as the smallest particle of an element or a compound that is capable of an independent existence and shows all the properties of that substance.
"
Atom,composite particle,Molecule,molecular entity,part of,"Atoms of the same element or of different elements can join together to form molecules.
"
Molecule,molecular entity,Chemical element,second-order class,has parts of the class,"Q Rationalised 2023-24  ATOMS AND MOLECULES 31 3.3.1 MOLECULES OF ELEMENTS The molecules of an element are constituted by the same type of atoms.
"
Argon,chemical element,Chemical element,second-order class,instance of,"Molecules of many elements, such as argon (Ar), helium (He) etc.
"
Atom,composite particle,Chemical element,second-order class,part of,"are made up of only one atom of that element.
"
Nonmetal,chemical substance,Metal,material,subclass of,"But this is not the case with most of the non- metals.
"
Oxygen,chemical element,Oxygen,chemical element,subclass of,"For example, a molecule of oxygen consists of two atoms of oxygen and hence it is known as a diatomic molecule, O2.
"
Ozone,nan,Oxygen,chemical element,subclass of,"If 3 atoms of oxygen unite into a molecule, instead of the usual 2, we get ozone, O3.
"
Atomicity,chemical property,Molecule,molecular entity,facet of,"The number of atoms constituting a molecule is known as its atomicity.
"
Carbon,chemical element,Metal,material,instance of,"Metals and some other elements, such as carbon, do not have a simple structure but consist of a very large and indefinite number of atoms bonded together.
"
Nonmetal,chemical element,Atomicity,physical property,subclass of,"Let us look at the atomicity of some non-metals.
"
Argon,chemical element,Chemical element,second-order class,instance of,"Table 3.3 : Atomicity of some elements Type of Name Atomicity Element Non-Metal Argon Monoatomic Helium Monoatomic Oxygen Diatomic Hydrogen Diatomic Nitrogen Diatomic Chlorine Diatomic Phosphorus Tetra-atomic Sulphur Poly-atomic Table 3.4 : Molecules of some compounds Compound Combining Ratio Elements by Mass Water (H2O) Hydrogen, Oxygen 1:8 Ammonia (NH3) Nitrogen, Hydrogen 14:3 Carbon dioxide (CO2) Carbon, Oxygen 3:8 Activity ______________ 3.2 • Refer to Table 3.4 for ratio by mass of atoms present in molecules and Table 3.2 for atomic masses of elements.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"Find the ratio by number of the atoms of elements in the molecules of compounds given in Table 3.4.
"
Atomic mass,unit of mass,Mass,physical quantity,measured physical quantity,"• The ratio by number of atoms for a water molecule can be found as follows: Element Ratio Atomic Mass Simplest by mass ratio/ ratio mass (u) atomic mass H 1 1 1 1 =1 2 O 8 16 8 16 = 1 2 1 • Thus, the ratio by number of atoms for water is H:O = 2:1.
"
ITON,None,3.3.3,"version, edition, or translation",facet of,"3.3.3 WHAT IS AN ION?
"
Metal,material,Nonmetal,chemical substance,opposite of,"Compounds composed of metals and non- metals contain charged species.
"
Ion,molecular entity,Atom,composite particle,subclass of,"Ions may consist of a single charged atom or a group of atoms that have a net charge on them.
"
Negatively charged,force,Positively charged,force,opposite of,"An ion can be negatively or positively charged.
"
Cation,ion,Ion,molecular entity,subclass of,"A negatively charged ion is called an ‘anion’ and the positively charged ion, a ‘cation’.
"
Sodium chloride,None,Chloride,structural class of chemical compounds,instance of,"Take, for example, sodium chloride (NaCl).
"
Chemical compound,group or class of chemical substances,Atom,composite particle,has parts of the class,"Its constituent particles are positively charged sodium ions (Na+) and negatively charged 3.3.2 MOLECULES OF COMPOUNDS Atoms of different elements join together in definite proportions to form molecules of compounds.
"
Table 3,None,4.4,literary work,part of,"Few examples are given in Table 3.4.
"
SCIENCE 32,scientific journal,Chloride ion,None,main subject,"Rationalised 2023-24  SCIENCE 32 chloride ions (Cl–).
"
Polyatomic ion,atom,Atom,composite particle,subclass of,"A group of atoms carrying a charge is known as a polyatomic ion (Table 3.6).
"
Ion,molecular entity,Ion,molecular entity,subclass of,"We shall learn more about the formation of ions in Chapter 4.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"Valency can be used to find out how the atoms of an element will combine with the atom(s) of another element to form a chemical compound.
"
Chemical element,second-order class,Atom,composite particle,part of,"The valency of the atom of an element can be thought of as hands or arms of that atom.
"
Human,organisms known by a particular common name,Arms,anatomical structure,has parts of the class,"Human beings have two arms and an octopus has eight.
"
Tarantula,taxon,Tarantula,taxon,parent taxon,"If one octopus has to catch hold of a few people in such a manner that all the eight arms of the octopus and both arms of all the humans are locked, how many humans do you think the octopus can hold?
"
Octopus,taxon,Oxygen,chemical element,said to be the same as,"Represent the octopus with O and humans with H.
"
Formula,mathematical concept,Combination,sum,uses,"Can you write a formula for this combination?
"
Oxygen,chemical element,Chemical element,second-order class,instance of,"Do you get OH4 as the formula?
"
Subrat,Greek letter,Subrat,Greek letter,part of,"The subscript 4 indicates the number of humans held by the octopus.
"
Sodium chloride,None,Chemical compound,group or class of chemical substances,instance of,"Table 3.5: Some ionic compounds Ionic Constituting Ratio Compound Elements by Mass Calcium oxide Calcium and oxygen 5:2 Magnesium Magnesium sulphide and sulphur 3:4 Sodium Sodium chloride and chlorine 23:35.5 3.4 Writing Chemical Formulae The chemical formula of a compound is a symbolic representation of its composition.
"
Chemical formula,notation,Chemical compound,group or class of chemical substances,part of,"The chemical formulae of different compounds can be written easily.
"
Metallic ion,chemical element,Chemical element,second-order class,subclass of,"For this exercise, we need to Table 3.6: Names and symbols of some ions Vale- Name of Symbol Non- Symbol Polyatomic Symbol ncy ion metallic ions element 1.
"
Chloride,None,Chloride,structural class of chemical compounds,subclass of,"Sodium Na+ Hydrogen H+ Ammonium NH4 + Potassium K+ Hydride H- Hydroxide OH– Silver Ag+ Chloride Cl- Nitrate NO3 – Copper (I)* Cu+ Bromide Br- Hydrogen Iodide I– carbonate HCO3 – 2.
"
